,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics,topic_name,x,y,z,x1,y1
10,150,150,150,gDAHrAvN78ZKEAnkMW48oh81TgDp+TTP4c1PPnkTDYo=,1,10,897.0,offline,sale,LJ100N EASY JUNIOR LIFE JACKET 2.0,SAILOR SAFETY,SAILING WINDSUR,1,24.99,gDAHrAvN78ZKEAnkMW48oh81TgDp+TTP4c1PPnkTDYo=,Prima vest,Deze zat onze dochter goed. We hebben ‘m (vooralsnog) gebruikt zodat zij alleen op supboard kon.We twijfelden over dat koord tussen de benen maar daar had ze geen last van.,5,2022-09-09 20:33:46,,,"Great cardigan. This one suited our daughter well. We used it (for the time being) so that she could go on her own on a SUP board. We had doubts about the cord between the legs, but it didn't bother her.",Prima vest. Deze zat onze dochter goed. We hebben ‘m (vooralsnog) gebruikt zodat zij alleen op supboard kon.We twijfelden over dat koord tussen de benen maar daar had ze geen last van.,Water Sports,0,Store Service Staff,8.2418995,2.190494,12.503803,10.831273,-5.348894
11,155,155,155,UuG1UjwoKbJNXh+myi0dbL9l/J0ZbV84pVwPaPWyvjI=,1,10,1570.0,offline,sale,MF FIDJI XL PALE MINT,TOWELS,SWIMMING AQUAGY,1,11.99,UuG1UjwoKbJNXh+myi0dbL9l/J0ZbV84pVwPaPWyvjI=,Compact en droogt snel,Prima handdoek,5,2022-07-29 19:29:34,,,Compact and dries quickly. Great towel,Compact en droogt snel. Prima handdoek,Water Sports,4,Price-Quality Evaluation,11.045686,1.1865917,11.293113,13.177278,-1.9163624
12,156,156,156,SAaPY/Hs+NczSVp+MOY9iRTF3VIrJtTadtpsBnKtKbw=,1,10,2013.0,offline,sale,SLAP 100 BB BLUE/GREEN*,BABY SWIM,SWIMMING AQUAGY,1,4.99,SAaPY/Hs+NczSVp+MOY9iRTF3VIrJtTadtpsBnKtKbw=,fijne slippertjes,op vakantie heel fijn rond het zwembad,4,2022-09-13 19:15:52,,,nice slippers. very nice around the pool on holiday,fijne slippertjes. op vakantie heel fijn rond het zwembad,Water Sports,3,Water Sports Gear,7.5046473,-2.0631359,13.947853,8.199227,-5.9346914
13,157,157,157,beSQJdmdZsmcaM8lHWuq4oSrmDKYKQn9pFRp4lSDGIg=,1,10,1185.0,offline,sale,TRAINFIN 500 BLUE BLACK,SWIM MATERIAL,SWIMMING AQUAGY,1,19.99,beSQJdmdZsmcaM8lHWuq4oSrmDKYKQn9pFRp4lSDGIg=,Het ziet er niet goed uit op de enkel.,Het ziet er niet goed uit op de enkel. zou de enkel beter kunnen omhelzen.,3,2023-12-07 11:19:26,,,It doesn't look good on the ankle. It doesn't look good on the ankle. could hug the ankle better.,Het ziet er niet goed uit op de enkel.. Het ziet er niet goed uit op de enkel. zou de enkel beter kunnen omhelzen.,Water Sports,3,Water Sports Gear,6.380157,-1.3811795,13.678303,9.178333,-6.8181744
14,161,161,161,4lEQWHF316qbXoL4CpdY4HptJSpdMua7aKNB6IH+zvw=,1,10,2092.0,offline,sale,L TEL POCKET,WATERPROOF BAGS,STAND UP KAYAK,2,17.98,4lEQWHF316qbXoL4CpdY4HptJSpdMua7aKNB6IH+zvw=,Ziet er goed uit,Nog maar net gekocht. Eerste indruk is goed. En werkt prima.,5,2022-06-11 21:21:19,,,Looks good. Only just bought. First impression is good. And works fine.,Ziet er goed uit. Nog maar net gekocht. Eerste indruk is goed. En werkt prima.,Water Sports,5,General Products,8.432443,-1.8104339,10.0872345,10.469181,-0.3308524
15,162,162,162,4lEQWHF316qbXoL4CpdY4HptJSpdMua7aKNB6IH+zvw=,1,10,2092.0,offline,sale,L TEL POCKET,WATERPROOF BAGS,STAND UP KAYAK,2,17.98,4lEQWHF316qbXoL4CpdY4HptJSpdMua7aKNB6IH+zvw=,,Goede en snelle levering En zeer tevreden over het product. Echt een aanrader.,5,2022-06-11 17:26:42,,,. Good and fast delivery. And very satisfied with the product. Highly recommended.,. Goede en snelle levering En zeer tevreden over het product. Echt een aanrader.,Water Sports,3,Water Sports Gear,7.484634,-2.163409,9.262064,11.424801,0.7047921
16,193,193,193,cnXMXMl7bE7J3XOnUKIVg5HDpRO7Vy5mdXsUdqHY7Y8=,1,10,2095.0,offline,sale,AQUASHOES SNK 100 AD GREY,SNK AQUASHOES,SNORKELING SCUB,1,7.99,cnXMXMl7bE7J3XOnUKIVg5HDpRO7Vy5mdXsUdqHY7Y8=,,Na lang zoeken samen met de medewerker heb ik gevonden wat ik wilde hebben,4,2023-10-03 15:37:31,,,". After a long search with the employee, I found what I wanted",. Na lang zoeken samen met de medewerker heb ik gevonden wat ik wilde hebben,Water Sports,0,Store Service Staff,9.057278,-3.2236626,8.822864,9.833638,1.6984832
17,195,195,195,m2fWWRZCfi8gZCcyujaMOqvbgWImf5anJEXVNVexjvs=,1,10,1088.0,offline,sale,1P 100 HEVA U BLACK*,W'S SWIMSUITS,SWIMMING AQUAGY,1,7.99,m2fWWRZCfi8gZCcyujaMOqvbgWImf5anJEXVNVexjvs=,Keurig,Fijn,5,2022-12-20 11:02:33,,,Neat. Fine,Keurig. Fijn,Water Sports,2,Size-Fit Evaluation,10.303537,-1.4839407,8.261841,12.255654,4.736614
18,196,196,196,m2fWWRZCfi8gZCcyujaMOqvbgWImf5anJEXVNVexjvs=,1,10,1088.0,offline,sale,1P 100 HEVA U BLACK*,W'S SWIMSUITS,SWIMMING AQUAGY,1,7.99,m2fWWRZCfi8gZCcyujaMOqvbgWImf5anJEXVNVexjvs=,,Fantastische winkel aantrekkelijke prijzen,5,2022-11-27 09:57:24,,,. Fantastic store attractive prices,. Fantastische winkel aantrekkelijke prijzen,Water Sports,0,Store Service Staff,8.910805,-5.1311197,9.331891,8.065703,2.2617304
19,221,221,221,QSz95BOIVGROD7fwSAgI1wlbkRN5ABTimME350c7f1M=,1,10,1089.0,offline,sale,PARUV WINDSTOP ECO DESIGN COLO1,SOLAR SHELTER,SURF BODYBOARD,1,26.99,QSz95BOIVGROD7fwSAgI1wlbkRN5ABTimME350c7f1M=,,Gewoon een top ervaring,5,2022-07-26 10:41:21,,,. Simply a great experience,. Gewoon een top ervaring,Water Sports,1,Swimwear,11.241728,-3.0565045,7.8534017,10.014584,5.004144
20,222,222,222,6fudfwVAZyJf5SXXpGXLVaePmEwfgg4v4mMS+hWxFGQ=,1,10,346.0,offline,sale,UVTOP100S_W  FOLK H10A,W SUN PROTEC,SURF BODYBOARD,1,9.99,6fudfwVAZyJf5SXXpGXLVaePmEwfgg4v4mMS+hWxFGQ=,Stevig uv werend shirt,"Fijn tshirt om langdurig op het water te zijn, supboard. Zit strak. Kies een maatje groter dan normaal. Leuk kleurtje.",4,2022-08-12 09:03:21,,,"Sturdy UV resistant shirt. Nice t-shirt for being on the water for a long time, SUP board. Sits tight. Choose a size larger than normal. Nice color.","Stevig uv werend shirt. Fijn tshirt om langdurig op het water te zijn, supboard. Zit strak. Kies een maatje groter dan normaal. Leuk kleurtje.",Water Sports,4,Price-Quality Evaluation,8.661166,1.6111828,11.640724,13.048815,-3.6368122
21,239,239,239,fwU3Np6kMarwG0silDeDfjhUQ1BOTUMSZY1vzl5tZCw=,2,10,256.0,offline,sale,BOOM PRT SILC BLACK/BLU SPEEDO **,SWIM HEADWEARS,SWIMMING AQUAGY,1,8.99,fwU3Np6kMarwG0silDeDfjhUQ1BOTUMSZY1vzl5tZCw=,Super fijne badmuts,Geen natte oren blijft goed op plek zitten schuift niet,5,2022-06-19 18:10:34,,,"Super nice swimming cap. No wet ears, stays in place and does not slide",Super fijne badmuts. Geen natte oren blijft goed op plek zitten schuift niet,Water Sports,1,Swimwear,9.486972,0.70706713,12.917202,10.17102,-3.9550674
22,240,240,240,QmmxaA7LEYPazMskyEkk7n5RR3TY+z/au6YjwhqDpIw=,1,10,346.0,offline,sale,NOODLE FOAM 118CM TURQUOISE RECYCLED,AQUALEARN ACC.,SWIMMING AQUAGY,3,8.97,QmmxaA7LEYPazMskyEkk7n5RR3TY+z/au6YjwhqDpIw=,,Ik heb in het verleden al veel spullen gekocht bij Decathlon. Vind de kwaliteit bijna altijd bijzonder goed.,5,2023-10-29 09:16:23,,,. I have bought a lot of stuff from Decathlon in the past. The quality is almost always exceptionally good.,. Ik heb in het verleden al veel spullen gekocht bij Decathlon. Vind de kwaliteit bijna altijd bijzonder goed.,Water Sports,0,Store Service Staff,6.3820977,-0.42435366,7.1566596,14.667164,0.72755015
23,241,241,241,eWyiLfeLYfG6jeuS34jE2AXrAv4gvlMQe83AmJVNyyE=,1,8,256.0,offline,sale,BOXER 500 YOKE BLACK SIDE YELLOW*,M'S SWIMSUITS,SWIMMING AQUAGY,1,9.99,eWyiLfeLYfG6jeuS34jE2AXrAv4gvlMQe83AmJVNyyE=,Perfecte zwemboxer,"Goede pasvorm, sluit goed rond het lichaam. Goed prijs kwaliteit/prijs verhouding.Comfortabel.",5,2022-03-03 11:20:49,,,"Perfect swimming boxers. Good fit, closes well around the body. Good price/quality ratio. Comfortable.","Perfecte zwemboxer. Goede pasvorm, sluit goed rond het lichaam. Goed prijs kwaliteit/prijs verhouding.Comfortabel.",Water Sports,2,Size-Fit Evaluation,7.0902724,1.1066926,14.482347,11.49926,-6.8484893
24,242,242,242,OPnON5YhQxsLEYwRZH3RF8vcIDoeXB0HvBNiuUzKrRo=,1,10,2226.0,offline,sale,FUNNY BALL GREEN YELLOW*,AQUALEARN ACC.,SWIMMING AQUAGY,1,3.99,OPnON5YhQxsLEYwRZH3RF8vcIDoeXB0HvBNiuUzKrRo=,:red_heart:️,:red_heart:️,5,2022-05-16 08:59:46,,,:red_heart:️. :red_heart:️,:red_heart:️. :red_heart:️,Water Sports,4,Price-Quality Evaluation,10.846343,-0.15409824,6.8520985,12.634911,3.1957746
25,243,243,243,OPnON5YhQxsLEYwRZH3RF8vcIDoeXB0HvBNiuUzKrRo=,1,10,2226.0,offline,sale,FUNNY BALL GREEN YELLOW*,AQUALEARN ACC.,SWIMMING AQUAGY,1,3.99,OPnON5YhQxsLEYwRZH3RF8vcIDoeXB0HvBNiuUzKrRo=,,alles goed,5,2022-05-13 14:57:28,,,. Everthing okay,. alles goed,Water Sports,4,Price-Quality Evaluation,10.034307,-1.6328648,8.129965,11.96852,4.374941
26,244,244,244,WhcIc4lf0QEOAee34CfyHqlKDX8Cti1nJdi7qcs4Ee8=,1,10,1161.0,offline,sale,BABYSEAT 7-11KG YELLOW*,AQUALEARN ACC.,SWIMMING AQUAGY,1,11.99,WhcIc4lf0QEOAee34CfyHqlKDX8Cti1nJdi7qcs4Ee8=,,"Goede sport winkel. Goede service, prima kwaliteit en zeer compleet assortiment. Enige nadeel is bereikbaarheid met de auto.",5,2023-08-05 00:22:05,,,". Good sports store. Good service, excellent quality and a very complete range. The only disadvantage is accessibility by car.",". Goede sport winkel. Goede service, prima kwaliteit en zeer compleet assortiment. Enige nadeel is bereikbaarheid met de auto.",Water Sports,0,Store Service Staff,9.456317,-4.6429076,9.082568,8.679121,2.194842
27,269,269,269,Q6VZ1V5IfD1PinwbXboTA1LRgWhtGT7YiXtHY6sGbRA=,1,10,1161.0,offline,sale,PON 500 PRINT GARDEN,TOWEL PONCHO,SURF BODYBOARD,1,34.99,Q6VZ1V5IfD1PinwbXboTA1LRgWhtGT7YiXtHY6sGbRA=,Super handig,Prettig in gebruik.Makkelijk om in om te kleden en als snelle handdoek,5,2023-09-13 07:54:53,,,Super handy. Pleasant to use. Easy to change into and as a quick towel,Super handig. Prettig in gebruik.Makkelijk om in om te kleden en als snelle handdoek,Water Sports,3,Water Sports Gear,10.2337475,-0.10801444,12.01313,10.667897,-2.0851264
28,270,270,270,Q6VZ1V5IfD1PinwbXboTA1LRgWhtGT7YiXtHY6sGbRA=,1,10,1161.0,offline,sale,PON 500 PRINT GARDEN,TOWEL PONCHO,SURF BODYBOARD,1,34.99,Q6VZ1V5IfD1PinwbXboTA1LRgWhtGT7YiXtHY6sGbRA=,,Personeel hebben we niet echt gezien. Maar de winkel was erg rommelig. Niet prettig als je nog twijfelt tussen verschillende artikelen.,3,2023-09-13 07:53:26,,,. We didn't really see any staff. But the store was very messy. Not pleasant if you are still unsure between different items.,. Personeel hebben we niet echt gezien. Maar de winkel was erg rommelig. Niet prettig als je nog twijfelt tussen verschillende artikelen.,Water Sports,0,Store Service Staff,9.549262,-4.3655148,7.913703,9.307749,3.4258978
29,271,271,271,PlXJuqYOHovAUyU0ojf/r9pjB4L8PnEh5L9m3c7EA84=,1,10,1570.0,offline,sale,BALL BV100 FISH,BEACH-VOLLEY,SURF BODYBOARD,1,7.99,PlXJuqYOHovAUyU0ojf/r9pjB4L8PnEh5L9m3c7EA84=,Lek op dag 1,Op dag 1 kwam de bal in de struiken en ging lek op een doorn. Erg onfortuinlijk maar ook vervelend en jammer. We vonden het wel een lekkere bal om mee te spelen.,3,2022-09-12 13:41:15,,,Leak on day 1. On day 1 the ball got into the bushes and punctured on a thorn. Very unfortunate but also annoying and unfortunate. We thought it was a nice ball to play with.,Lek op dag 1. Op dag 1 kwam de bal in de struiken en ging lek op een doorn. Erg onfortuinlijk maar ook vervelend en jammer. We vonden het wel een lekkere bal om mee te spelen.,Water Sports,3,Water Sports Gear,9.351695,-1.4590787,11.732621,9.439355,-1.6723627
30,293,293,293,XNx3n5ySde/RMlxyTLcfXZTMNqkRkVVXUWFjQoepS6o=,1,10,2224.0,offline,sale,1P 100 HEVA U BLACK*,W'S SWIMSUITS,SWIMMING AQUAGY,1,9.99,XNx3n5ySde/RMlxyTLcfXZTMNqkRkVVXUWFjQoepS6o=,Mooi fijn badpak,Mooi badpak zit mooi lang het lichaam,5,2023-06-25 07:55:05,,,Beautiful nice swimsuit. Beautiful swimsuit fits nicely along the body,Mooi fijn badpak. Mooi badpak zit mooi lang het lichaam,Water Sports,2,Size-Fit Evaluation,7.4240365,1.4625713,14.793158,12.164726,-7.0304446
31,294,294,294,YCwMLQMABlkm3cuM3ZHm5OLufrAJAfMt8trkxj7haUg=,1,10,1088.0,offline,sale,JAMMER 500 FITI BLACK MESH BLACK*,M'S SWIMSUITS,SWIMMING AQUAGY,1,24.99,YCwMLQMABlkm3cuM3ZHm5OLufrAJAfMt8trkxj7haUg=,Top broek.,Goede pasvorm en zwemt lekker. Uitstekende keuze voor de zwemles die ik vol,5,2022-02-27 22:26:53,,,Top pants.. Good fit and swims well. Excellent choice for the swimming lessons I full,Top broek.. Goede pasvorm en zwemt lekker. Uitstekende keuze voor de zwemles die ik vol,Water Sports,0,Store Service Staff,5.878306,0.93540967,13.4427395,10.774538,-7.5889826
32,345,345,345,Ah7Fx0Pl+YrD68MJ0p5DHlDNxqIkUs2DENOx1dUDdVc=,1,8,256.0,offline,sale,SET FINS MASK SNORKEL SNK 500 JR TURQUOI,SNK SETS FMS,SNORKELING SCUB,1,19.99,Ah7Fx0Pl+YrD68MJ0p5DHlDNxqIkUs2DENOx1dUDdVc=,prima materiaal,"mijn ervaring met deze producten is heel goed, kom daarom ook steeds er voor terug en stuur mensen naar Decathlon voor deze materialen",5,2022-06-08 16:49:51,,,"excellent material. My experience with these products is very good, so I always come back and send people to Decathlon for these materials","prima materiaal. mijn ervaring met deze producten is heel goed, kom daarom ook steeds er voor terug en stuur mensen naar Decathlon voor deze materialen",Water Sports,3,Water Sports Gear,6.3969374,-0.39997932,7.237789,14.634726,0.7188353
33,349,349,349,B2IpAwA86tfKpFHnfu5N1pMe3xxZvsldWqd39azTVS0=,1,10,2093.0,offline,sale,MESH SILICONE CAP SOLID BLACK*,SWIM HEADWEARS,SWIMMING AQUAGY,1,4.99,B2IpAwA86tfKpFHnfu5N1pMe3xxZvsldWqd39azTVS0=,,alles was top,5,2022-08-22 09:06:35,,,. everything was great,. alles was top,Water Sports,4,Price-Quality Evaluation,9.766747,-1.9486591,8.061453,11.711709,4.0181403
34,350,350,350,JMtj/8WnaWr3X6BqFmW1OpIi0jhl8cCvT3unrUu4po4=,1,10,2095.0,offline,sale,PULL BUOY 500 M BLACK YELLOW,SWIM MATERIAL,SWIMMING AQUAGY,1,5.99,JMtj/8WnaWr3X6BqFmW1OpIi0jhl8cCvT3unrUu4po4=,Erg fijn om med te zwemmen.,Top,5,2022-09-12 13:42:12,,,Very nice to swim with.. Great,Erg fijn om med te zwemmen.. Top,Water Sports,1,Swimwear,8.880496,0.25014654,13.744134,9.760751,-4.321786
35,351,351,351,JMtj/8WnaWr3X6BqFmW1OpIi0jhl8cCvT3unrUu4po4=,1,10,2095.0,offline,sale,PULL BUOY 500 M BLACK YELLOW,SWIM MATERIAL,SWIMMING AQUAGY,1,5.99,JMtj/8WnaWr3X6BqFmW1OpIi0jhl8cCvT3unrUu4po4=,,Mooie producten tegen strakke prijs. Systeem bestellen en ophalen werkt super. Zeer vriendelijk personeel.,5,2022-09-11 12:17:50,,,. Beautiful products at a competitive price. Order and collect system works great. Very friendly staff.,. Mooie producten tegen strakke prijs. Systeem bestellen en ophalen werkt super. Zeer vriendelijk personeel.,Water Sports,0,Store Service Staff,9.417638,-4.3085814,8.225831,9.312303,3.2215693
36,369,369,369,Ni8lrypNw78PgY3hGNtgSRU1vhAGA9XjWfNY+dwjewI=,1,10,1186.0,offline,sale,PON 100 JR BLUE,TOWEL PONCHO,SURF BODYBOARD,1,12.99,Ni8lrypNw78PgY3hGNtgSRU1vhAGA9XjWfNY+dwjewI=,wat een fijn product,"Gelijk in gebruik genomen na even snel gewassen te hebben, Supersnel droog .",5,2023-06-20 17:13:41,,,"what a nice product. Immediately put to use after a quick wash, dries super quickly.","wat een fijn product. Gelijk in gebruik genomen na even snel gewassen te hebben, Supersnel droog .",Water Sports,3,Water Sports Gear,10.515599,0.9228067,11.379425,12.624935,-2.1892695
37,370,370,370,Ni8lrypNw78PgY3hGNtgSRU1vhAGA9XjWfNY+dwjewI=,1,10,1186.0,offline,sale,PON 100 JR BLUE,TOWEL PONCHO,SURF BODYBOARD,1,12.99,Ni8lrypNw78PgY3hGNtgSRU1vhAGA9XjWfNY+dwjewI=,,"best druk in de winkel , maar gemoedelijk en overzichtelijk!",5,2023-06-20 17:12:35,,,". quite busy in the store, but pleasant and clear!",". best druk in de winkel , maar gemoedelijk en overzichtelijk!",Water Sports,0,Store Service Staff,9.115569,-4.6318984,8.4911995,8.951399,2.707884
38,393,393,393,YHB5DUU5t8Td6Jn78hG7qCmvS/MjST27bTnyT06CqOY=,1,8,2092.0,offline,sale,1P 500 KAMIYE + BLUE YELLOW*,W'S SWIMSUITS,SWIMMING AQUAGY,1,14.99,YHB5DUU5t8Td6Jn78hG7qCmvS/MjST27bTnyT06CqOY=,,Het is eigenlijk niet meer van deze tijd dat je enkel met de pin je betalingen kunt doen. Papiergeld is nog steeds niet uitgebannen en weldegelijk een wettig betaalmiddel.,3,2023-09-17 16:33:34,,,. It is no longer a thing of the past that you can only make payments with the PIN. Paper money has still not been eradicated and is indeed legal tender.,. Het is eigenlijk niet meer van deze tijd dat je enkel met de pin je betalingen kunt doen. Papiergeld is nog steeds niet uitgebannen en weldegelijk een wettig betaalmiddel.,Water Sports,0,Store Service Staff,8.230822,-3.4480124,8.020368,10.420831,2.6319797
