label,the_date_transaction,turnover
Archery,2022-03-22,3494.12
Archery,2022-03-23,3206.58
Archery,2022-03-24,3793.11
Archery,2022-03-25,4192.0
Archery,2022-03-26,5943.8
Archery,2022-03-27,5727.02
Archery,2022-03-28,4037.67
Archery,2022-03-29,3867.39
Archery,2022-03-30,4271.38
Archery,2022-03-31,2922.21
Archery,2022-04-01,3143.51
Archery,2022-04-02,4966.91
Archery,2022-04-03,4659.78
Archery,2022-04-04,2677.1
Archery,2022-04-05,2290.48
Archery,2022-04-06,3938.75
Archery,2022-04-07,2822.09
Archery,2022-04-08,3762.09
Archery,2022-04-09,6452.28
Archery,2022-04-10,5460.86
Archery,2022-04-11,4481.95
Archery,2022-04-12,4739.54
Archery,2022-04-13,5785.91
Archery,2022-04-14,4397.88
Archery,2022-04-15,6037.61
Archery,2022-04-16,6101.48
Archery,2022-04-17,2160.57
Archery,2022-04-18,5827.92
Archery,2022-04-19,4725.27
Archery,2022-04-20,5264.14
Archery,2022-04-21,5150.33
Archery,2022-04-22,6367.65
Archery,2022-04-23,7577.59
Archery,2022-04-24,6982.22
Archery,2022-04-25,5824.17
Archery,2022-04-26,6414.4
Archery,2022-04-27,3452.04
Archery,2022-04-28,6367.65
Archery,2022-04-29,5954.96
Archery,2022-04-30,6723.25
Archery,2022-05-01,6029.83
Archery,2022-05-02,5606.52
Archery,2022-05-03,5212.56
Archery,2022-05-04,5556.32
Archery,2022-05-05,5591.97
Archery,2022-05-06,4893.27
Archery,2022-05-07,6140.49
Archery,2022-05-08,4005.5
Archery,2022-05-09,4012.29
Archery,2022-05-10,5301.53
Archery,2022-05-11,4405.06
Archery,2022-05-12,5603.88
Archery,2022-05-13,5475.69
Archery,2022-05-14,7632.1
Archery,2022-05-15,5182.89
Archery,2022-05-16,3765.64
Archery,2022-05-17,4937.08
Archery,2022-05-18,4867.87
Archery,2022-05-19,3542.79
Archery,2022-05-20,4620.92
Archery,2022-05-21,8259.84
Archery,2022-05-22,5486.97
Archery,2022-05-23,6219.45
Archery,2022-05-24,4872.03
Archery,2022-05-25,5997.44
Archery,2022-05-26,9171.17
Archery,2022-05-27,9520.66
Archery,2022-05-28,8214.7
Archery,2022-05-29,5924.95
Archery,2022-05-30,3926.94
Archery,2022-05-31,4064.53
Archery,2022-06-01,5601.52
Archery,2022-06-02,4365.11
Archery,2022-06-03,5274.64
Archery,2022-06-04,8472.35
Archery,2022-06-05,3924.02
Archery,2022-06-06,7496.84
Archery,2022-06-07,5163.02
Archery,2022-06-08,4725.88
Archery,2022-06-09,4699.02
Archery,2022-06-10,6519.2
Archery,2022-06-11,7216.62
Archery,2022-06-12,6189.4
Archery,2022-06-13,5130.94
Archery,2022-06-14,4352.45
Archery,2022-06-15,5145.94
Archery,2022-06-16,5833.24
Archery,2022-06-17,7363.59
Archery,2022-06-18,8018.0199999999995
Archery,2022-06-19,6777.99
Archery,2022-06-20,4486.15
Archery,2022-06-21,4761.59
Archery,2022-06-22,4635.15
Archery,2022-06-23,5312.7699999999995
Archery,2022-06-24,6530.91
Archery,2022-06-25,10510.29
Archery,2022-06-26,9175.12
Archery,2022-06-27,4825.89
Archery,2022-06-28,6078.49
Archery,2022-06-29,6741.89
Archery,2022-06-30,6358.83
Archery,2022-07-01,6789.89
Archery,2022-07-02,8434.5
Archery,2022-07-03,8661.0
Archery,2022-07-04,5779.58
Archery,2022-07-05,7466.76
Archery,2022-07-06,7329.11
Archery,2022-07-07,6223.62
Archery,2022-07-08,6925.35
Archery,2022-07-09,10534.69
Archery,2022-07-10,7424.27
Archery,2022-07-11,7842.13
Archery,2022-07-12,4607.68
Archery,2022-07-13,5421.77
Archery,2022-07-14,5260.33
Archery,2022-07-15,7356.25
Archery,2022-07-16,7717.05
Archery,2022-07-17,6106.78
Archery,2022-07-18,5467.47
Archery,2022-07-19,3895.92
Archery,2022-07-20,6593.16
Archery,2022-07-21,6402.91
Archery,2022-07-22,5794.62
Archery,2022-07-23,8123.02
Archery,2022-07-24,7044.42
Archery,2022-07-25,7164.2300000000005
Archery,2022-07-26,7144.43
Archery,2022-07-27,6656.92
Archery,2022-07-28,6811.61
Archery,2022-07-29,6512.12
Archery,2022-07-30,7412.74
Archery,2022-07-31,5559.28
Archery,2022-08-01,5897.2
Archery,2022-08-02,4806.9800000000005
Archery,2022-08-03,5109.72
Archery,2022-08-04,5272.46
Archery,2022-08-05,5663.62
Archery,2022-08-06,7240.48
Archery,2022-08-07,5572.2
Archery,2022-08-08,6080.57
Archery,2022-08-09,6946.5
Archery,2022-08-10,5097.07
Archery,2022-08-11,6412.49
Archery,2022-08-12,4976.25
Archery,2022-08-13,6111.72
Archery,2022-08-14,4877.59
Archery,2022-08-15,5650.03
Archery,2022-08-16,6095.74
Archery,2022-08-17,4829.27
Archery,2022-08-18,5288.97
Archery,2022-08-19,4671.14
Archery,2022-08-20,5268.71
Archery,2022-08-21,4562.4
Archery,2022-08-22,4821.71
Archery,2022-08-23,4268.58
Archery,2022-08-24,7005.13
Archery,2022-08-25,4309.67
Archery,2022-08-26,4960.87
Archery,2022-08-27,4914.53
Archery,2022-08-28,4236.64
Archery,2022-08-29,4006.95
Archery,2022-08-30,4446.1
Archery,2022-08-31,4331.34
Archery,2022-09-01,3226.67
Archery,2022-09-02,4330.81
Archery,2022-09-03,5575.37
Archery,2022-09-04,3273.76
Archery,2022-09-05,3783.04
Archery,2022-09-06,2752.74
Archery,2022-09-07,2553.64
Archery,2022-09-08,4042.01
Archery,2022-09-09,4019.13
Archery,2022-09-10,4023.57
Archery,2022-09-11,3317.63
Archery,2022-09-12,3093.1
Archery,2022-09-13,2928.67
Archery,2022-09-14,3427.45
Archery,2022-09-15,3532.85
Archery,2022-09-16,3032.2
Archery,2022-09-17,3784.7400000000002
Archery,2022-09-18,3520.12
Archery,2022-09-19,2539.31
Archery,2022-09-20,3432.77
Archery,2022-09-21,2920.58
Archery,2022-09-22,3034.31
Archery,2022-09-23,2643.23
Archery,2022-09-24,4274.57
Archery,2022-09-25,3110.3
Archery,2022-09-26,1956.64
Archery,2022-09-27,3828.44
Archery,2022-09-28,2940.36
Archery,2022-09-29,2564.7
Archery,2022-09-30,2263.56
Archery,2022-10-01,4166.53
Archery,2022-10-02,3654.56
Archery,2022-10-03,2645.43
Archery,2022-10-04,2339.58
Archery,2022-10-05,2327.52
Archery,2022-10-06,1885.67
Archery,2022-10-07,1732.41
Archery,2022-10-08,3374.68
Archery,2022-10-09,2702.18
Archery,2022-10-10,1832.65
Archery,2022-10-11,2694.34
Archery,2022-10-12,2327.42
Archery,2022-10-13,1902.77
Archery,2022-10-14,2616.21
Archery,2022-10-15,3526.64
Archery,2022-10-16,2339.5
Archery,2022-10-17,1665.94
Archery,2022-10-18,1938.7
Archery,2022-10-19,1998.6200000000001
Archery,2022-10-20,2759.16
Archery,2022-10-21,2339.3
Archery,2022-10-22,3687.6
Archery,2022-10-23,2873.23
Archery,2022-10-24,2217.46
Archery,2022-10-25,2578.3
Archery,2022-10-26,2502.17
Archery,2022-10-27,3052.95
Archery,2022-10-28,2702.19
Archery,2022-10-29,4023.13
Archery,2022-10-30,3685.74
Archery,2022-10-31,2478.51
Archery,2022-11-01,3308.1
Archery,2022-11-02,2640.78
Archery,2022-11-03,2634.51
Archery,2022-11-04,2465.31
Archery,2022-11-05,3435.62
Archery,2022-11-06,2814.89
Archery,2022-11-07,2889.29
Archery,2022-11-08,2031.66
Archery,2022-11-09,2767.01
Archery,2022-11-10,1959.45
Archery,2022-11-11,3030.11
Archery,2022-11-12,3926.04
Archery,2022-11-13,4191.56
Archery,2022-11-14,2404.27
Archery,2022-11-15,3151.03
Archery,2022-11-16,3317.5
Archery,2022-11-17,3502.53
Archery,2022-11-18,4168.79
Archery,2022-11-19,4383.84
Archery,2022-11-20,4233.94
Archery,2022-11-21,3492.98
Archery,2022-11-22,3975.57
Archery,2022-11-23,4963.99
Archery,2022-11-24,4483.08
Archery,2022-11-25,6605.12
Archery,2022-11-26,7451.51
Archery,2022-11-27,6224.38
Archery,2022-11-28,4301.47
Archery,2022-11-29,3978.4900000000002
Archery,2022-11-30,4588.94
Archery,2022-12-01,5241.53
Archery,2022-12-02,6135.48
Archery,2022-12-03,6017.11
Archery,2022-12-04,4385.88
Archery,2022-12-05,2643.39
Archery,2022-12-06,2087.56
Archery,2022-12-07,2928.17
Archery,2022-12-08,2762.2
Archery,2022-12-09,3353.48
Archery,2022-12-10,3926.07
Archery,2022-12-11,3845.35
Archery,2022-12-12,3269.03
Archery,2022-12-13,3671.92
Archery,2022-12-14,4036.77
Archery,2022-12-15,4409.49
Archery,2022-12-16,3709.84
Archery,2022-12-17,6190.84
Archery,2022-12-18,4555.9
Archery,2022-12-19,3240.94
Archery,2022-12-20,4942.1
Archery,2022-12-21,5719.54
Archery,2022-12-22,5631.33
Archery,2022-12-23,6817.66
Archery,2022-12-24,6980.65
Archery,2022-12-25,192.89999999999998
Archery,2022-12-26,2740.04
Archery,2022-12-27,4998.53
Archery,2022-12-28,4753.45
Archery,2022-12-29,6433.23
Archery,2022-12-30,4625.45
Archery,2022-12-31,3264.74
Archery,2023-01-01,600.81
Archery,2023-01-02,5777.45
Archery,2023-01-03,5107.47
Archery,2023-01-04,5209.28
Archery,2023-01-05,4913.9
Archery,2023-01-06,5445.39
Archery,2023-01-07,5444.49
Archery,2023-01-08,4553.83
Archery,2023-01-09,2934.13
Archery,2023-01-10,2859.24
Archery,2023-01-11,3236.65
Archery,2023-01-12,3559.83
Archery,2023-01-13,3776.18
Archery,2023-01-14,6455.5199999999995
Archery,2023-01-15,4869.68
Archery,2023-01-16,2609.99
Archery,2023-01-17,1787.65
Archery,2023-01-18,3631.71
Archery,2023-01-19,2625.21
Archery,2023-01-20,3196.7599999999998
Archery,2023-01-21,6044.4
Archery,2023-01-22,5229.47
Archery,2023-01-23,2198.35
Archery,2023-01-24,2587.7599999999998
Archery,2023-01-25,2957.06
Archery,2023-01-26,2838.78
Archery,2023-01-27,3080.56
Archery,2023-01-28,5194.88
Archery,2023-01-29,5336.96
Archery,2023-01-30,2456.37
Archery,2023-01-31,2292.3
Archery,2023-02-01,2978.93
Archery,2023-02-02,2978.0
Archery,2023-02-03,3718.13
Archery,2023-02-04,5178.55
Archery,2023-02-05,4621.92
Archery,2023-02-06,2770.72
Archery,2023-02-07,2172.3
Archery,2023-02-08,2476.21
Archery,2023-02-09,2497.25
Archery,2023-02-10,3316.81
Archery,2023-02-11,4700.87
Archery,2023-02-12,3210.4
Archery,2023-02-13,2232.33
Archery,2023-02-14,2955.13
Archery,2023-02-15,3326.61
Archery,2023-02-16,2725.27
Archery,2023-02-17,2518.2
Archery,2023-02-18,4060.74
Archery,2023-02-19,2649.05
Archery,2023-02-20,2159.48
Archery,2023-02-21,2374.38
Archery,2023-02-22,3828.55
Archery,2023-02-23,3196.2
Archery,2023-02-24,3853.6
Archery,2023-02-25,5501.16
Archery,2023-02-26,4198.11
Archery,2023-02-27,3207.79
Archery,2023-02-28,3272.8
Archery,2023-03-01,3551.7599999999998
Archery,2023-03-02,3443.94
Archery,2023-03-03,2958.6
Archery,2023-03-04,4102.78
Archery,2023-03-05,4130.15
Archery,2023-03-06,1657.74
Archery,2023-03-07,1987.62
Archery,2023-03-08,2463.84
Archery,2023-03-09,2154.74
Archery,2023-03-10,2994.0
Archery,2023-03-11,5440.03
Archery,2023-03-12,3625.47
Archery,2023-03-13,1716.8
Archery,2023-03-14,2060.46
Archery,2023-03-15,1893.15
Archery,2023-03-16,2333.24
Archery,2023-03-17,2639.11
Archery,2023-03-18,3839.19
Archery,2023-03-19,3831.45
Archery,2023-03-20,2288.49
Archery,2023-03-21,2120.43
Archery,2023-03-22,2897.95
Archery,2023-03-23,3216.87
Archery,2023-03-24,3338.64
Archery,2023-03-25,5855.89
Archery,2023-03-26,4895.66
Archery,2023-03-27,1997.46
Archery,2023-03-28,2664.16
Archery,2023-03-29,3475.91
Archery,2023-03-30,3344.96
Archery,2023-03-31,4211.72
Archery,2023-04-01,5760.66
Archery,2023-04-02,3342.56
Archery,2023-04-03,3108.02
Archery,2023-04-04,3373.94
Archery,2023-04-05,3653.9900000000002
Archery,2023-04-06,3091.85
Archery,2023-04-07,5127.7
Archery,2023-04-08,5249.03
Archery,2023-04-09,1778.86
Archery,2023-04-10,5306.39
Archery,2023-04-11,3683.29
Archery,2023-04-12,4581.46
Archery,2023-04-13,3735.66
Archery,2023-04-14,4566.04
Archery,2023-04-15,5914.38
Archery,2023-04-16,5034.73
Archery,2023-04-17,3097.07
Archery,2023-04-18,3308.84
Archery,2023-04-19,3341.84
Archery,2023-04-20,3482.79
Archery,2023-04-21,3890.96
Archery,2023-04-22,6060.22
Archery,2023-04-23,4937.76
Archery,2023-04-24,4008.32
Archery,2023-04-25,4228.6900000000005
Archery,2023-04-26,4628.06
Archery,2023-04-27,1960.78
Archery,2023-04-28,5098.85
Archery,2023-04-29,5485.39
Archery,2023-04-30,4764.95
Archery,2023-05-01,5242.73
Archery,2023-05-02,4139.41
Archery,2023-05-03,4893.06
Archery,2023-05-04,3601.68
Archery,2023-05-05,4646.92
Archery,2023-05-06,6466.93
Archery,2023-05-07,5386.83
Archery,2023-05-08,3221.22
Archery,2023-05-09,3609.77
Archery,2023-05-10,4093.16
Archery,2023-05-11,2852.08
Archery,2023-05-12,3862.34
Archery,2023-05-13,4625.44
Archery,2023-05-14,3999.5
Archery,2023-05-15,3350.91
Archery,2023-05-16,3458.9700000000003
Archery,2023-05-17,3809.7400000000002
Archery,2023-05-18,7043.45
Archery,2023-05-19,7481.44
Archery,2023-05-20,5617.12
Archery,2023-05-21,4953.9
Archery,2023-05-22,3987.52
Archery,2023-05-23,4438.51
Archery,2023-05-24,4396.16
Archery,2023-05-25,5232.35
Archery,2023-05-26,6350.9
Archery,2023-05-27,8096.29
Archery,2023-05-28,3771.86
Archery,2023-05-29,8378.66
Archery,2023-05-30,5094.67
Archery,2023-05-31,5738.27
Archery,2023-06-01,4902.03
Archery,2023-06-02,5436.7699999999995
Archery,2023-06-03,6792.98
Archery,2023-06-04,5768.7300000000005
Archery,2023-06-05,4820.93
Archery,2023-06-06,4512.39
Archery,2023-06-07,6061.41
Archery,2023-06-08,5251.98
Archery,2023-06-09,5155.24
Archery,2023-06-10,5790.05
Archery,2023-06-11,4946.07
Archery,2023-06-12,4631.41
Archery,2023-06-13,5595.95
Archery,2023-06-14,4497.39
Archery,2023-06-15,5154.09
Archery,2023-06-16,6899.4
Archery,2023-06-17,10120.28
Archery,2023-06-18,7059.8
Archery,2023-06-19,3207.9900000000002
Archery,2023-06-20,4724.32
Archery,2023-06-21,4917.0
Archery,2023-06-22,4989.42
Archery,2023-06-23,9392.11
Archery,2023-06-24,9097.15
Archery,2023-06-25,6126.54
Archery,2023-06-26,5681.43
Archery,2023-06-27,4330.22
Archery,2023-06-28,6458.66
Archery,2023-06-29,5277.3
Archery,2023-06-30,5935.52
Archery,2023-07-01,9123.63
Archery,2023-07-02,7614.570000000001
Archery,2023-07-03,4864.03
Archery,2023-07-04,6783.83
Archery,2023-07-05,4880.34
Archery,2023-07-06,4850.13
Archery,2023-07-07,6408.38
Archery,2023-07-08,7455.7300000000005
Archery,2023-07-09,6891.88
Archery,2023-07-10,5617.98
Archery,2023-07-11,5871.72
Archery,2023-07-12,7115.78
Archery,2023-07-13,5575.86
Archery,2023-07-14,6468.82
Archery,2023-07-15,8653.15
Archery,2023-07-16,7772.29
Archery,2023-07-17,6206.6
Archery,2023-07-18,5523.36
Archery,2023-07-19,5664.78
Archery,2023-07-20,6892.99
Archery,2023-07-21,5833.41
Archery,2023-07-22,6997.53
Archery,2023-07-23,6102.59
Archery,2023-07-24,4925.04
Archery,2023-07-25,5351.17
Archery,2023-07-26,5006.67
Archery,2023-07-27,6820.05
Archery,2023-07-28,4914.38
Archery,2023-07-29,5474.56
Archery,2023-07-30,5242.81
Archery,2023-07-31,5092.27
Archery,2023-08-01,4836.0
Archery,2023-08-02,4727.19
Archery,2023-08-03,4214.34
Archery,2023-08-04,4347.48
Archery,2023-08-05,5159.47
Archery,2023-08-06,5202.81
Archery,2023-08-07,4155.49
Archery,2023-08-08,4097.11
Archery,2023-08-09,4813.92
Archery,2023-08-10,4359.54
Archery,2023-08-11,3582.93
Archery,2023-08-12,4788.86
Archery,2023-08-13,4437.2
Archery,2023-08-14,5420.72
Archery,2023-08-15,4572.18
Archery,2023-08-16,4531.94
Archery,2023-08-17,4630.35
Archery,2023-08-18,4511.37
Archery,2023-08-19,4765.09
Archery,2023-08-20,4273.39
Archery,2023-08-21,3570.45
Archery,2023-08-22,4443.31
Archery,2023-08-23,3777.62
Archery,2023-08-24,4770.09
Archery,2023-08-25,5088.6
Archery,2023-08-26,6316.29
Archery,2023-08-27,4116.07
Archery,2023-08-28,3381.95
Archery,2023-08-29,3828.7200000000003
Archery,2023-08-30,3579.67
Archery,2023-08-31,4123.57
Archery,2023-09-01,4866.18
Archery,2023-09-02,3986.4700000000003
Archery,2023-09-03,3246.92
Archery,2023-09-04,2960.33
Archery,2023-09-05,3168.97
Archery,2023-09-06,3247.88
Archery,2023-09-07,3772.35
Archery,2023-09-08,3510.88
Archery,2023-09-09,4276.52
Archery,2023-09-10,3305.92
Archery,2023-09-11,4244.18
Archery,2023-09-12,2553.59
Archery,2023-09-13,3588.79
Archery,2023-09-14,2930.34
Archery,2023-09-15,3831.6
Archery,2023-09-16,4013.02
Archery,2023-09-17,3106.7599999999998
Archery,2023-09-18,2867.13
Archery,2023-09-19,2897.12
Archery,2023-09-20,2775.16
Archery,2023-09-21,2678.43
Archery,2023-09-22,3494.64
Archery,2023-09-23,4132.12
Archery,2023-09-24,2884.11
Archery,2023-09-25,2641.42
Archery,2023-09-26,2279.56
Archery,2023-09-27,3368.16
Archery,2023-09-28,3215.14
Archery,2023-09-29,3205.71
Archery,2023-09-30,3864.4700000000003
Archery,2023-10-01,3235.51
Archery,2023-10-02,2261.64
Archery,2023-10-03,2929.13
Archery,2023-10-04,2380.56
Archery,2023-10-05,2252.4
Archery,2023-10-06,2900.14
Archery,2023-10-07,3411.57
Archery,2023-10-08,2574.25
Archery,2023-10-09,2385.54
Archery,2023-10-10,2073.63
Archery,2023-10-11,2623.39
Archery,2023-10-12,2053.83
Archery,2023-10-13,3386.15
Archery,2023-10-14,2912.03
Archery,2023-10-15,2683.0
Archery,2023-10-16,2195.67
Archery,2023-10-17,1865.52
Archery,2023-10-18,2043.79
Archery,2023-10-19,2421.52
Archery,2023-10-20,2611.81
Archery,2023-10-21,2429.12
Archery,2023-10-22,1919.4
Archery,2023-10-23,1892.64
Archery,2023-10-24,1778.7
Archery,2023-10-25,2327.61
Archery,2023-10-26,2585.11
Archery,2023-10-27,2346.28
Archery,2023-10-28,3167.93
Archery,2023-10-29,3114.14
Archery,2023-10-30,2000.8700000000001
Archery,2023-10-31,2233.71
Archery,2023-11-01,2054.33
Archery,2023-11-02,2074.76
Archery,2023-11-03,2392.38
Archery,2023-11-04,3322.69
Archery,2023-11-05,2416.56
Archery,2023-11-06,1551.17
Archery,2023-11-07,1936.72
Archery,2023-11-08,1782.77
Archery,2023-11-09,2091.7
Archery,2023-11-10,2309.65
Archery,2023-11-11,3018.73
Archery,2023-11-12,2482.8
Archery,2023-11-13,1354.15
Archery,2023-11-14,2295.64
Archery,2023-11-15,2205.61
Archery,2023-11-16,2985.02
Archery,2023-11-17,3184.88
Archery,2023-11-18,3063.81
Archery,2023-11-19,3036.0099999999998
Archery,2023-11-20,2519.49
Archery,2023-11-21,3027.37
Archery,2023-11-22,2602.36
Archery,2023-11-23,2399.52
Archery,2023-11-24,4251.47
Archery,2023-11-25,4495.1
Archery,2023-11-26,3658.35
Archery,2023-11-27,3586.17
Archery,2023-11-28,3566.86
Archery,2023-11-29,2995.7
Archery,2023-11-30,3341.27
Archery,2023-12-01,3879.28
Archery,2023-12-02,4274.04
Archery,2023-12-03,3100.95
Archery,2023-12-04,1803.63
Archery,2023-12-05,2006.33
Archery,2023-12-06,2205.49
Archery,2023-12-07,3086.25
Archery,2023-12-08,2331.6
Archery,2023-12-09,2811.15
Archery,2023-12-10,3172.93
Archery,2023-12-11,2200.79
Archery,2023-12-12,2571.56
Archery,2023-12-13,4303.8099999999995
Archery,2023-12-14,2905.1
Archery,2023-12-15,2776.43
Archery,2023-12-16,4193.91
Archery,2023-12-17,3747.36
Archery,2023-12-18,3300.15
Archery,2023-12-19,69.98
Baseball & Cricket,2022-01-01,14.99
Baseball & Cricket,2022-01-02,124.92000000000002
Baseball & Cricket,2022-01-03,226.86
Baseball & Cricket,2022-01-04,109.93
Baseball & Cricket,2022-01-05,233.82
Baseball & Cricket,2022-01-06,115.92
Baseball & Cricket,2022-01-07,269.87
Baseball & Cricket,2022-01-08,109.96000000000001
Baseball & Cricket,2022-01-09,139.94
Baseball & Cricket,2022-01-10,175.88
Baseball & Cricket,2022-01-11,78.92
Baseball & Cricket,2022-01-12,146.94
Baseball & Cricket,2022-01-13,152.93
Baseball & Cricket,2022-01-14,2.99
Baseball & Cricket,2022-01-15,476.63
Baseball & Cricket,2022-01-16,597.61
Baseball & Cricket,2022-01-17,295.84000000000003
Baseball & Cricket,2022-01-18,207.84
Baseball & Cricket,2022-01-19,84.9
Baseball & Cricket,2022-01-20,203.87
Baseball & Cricket,2022-01-21,300.71000000000004
Baseball & Cricket,2022-01-22,585.6
Baseball & Cricket,2022-01-23,304.76
Baseball & Cricket,2022-01-24,401.75
Baseball & Cricket,2022-01-25,271.82
Baseball & Cricket,2022-01-26,537.75
Baseball & Cricket,2022-01-27,360.71
Baseball & Cricket,2022-01-28,350.79
Baseball & Cricket,2022-01-29,586.58
Baseball & Cricket,2022-01-30,604.65
Baseball & Cricket,2022-01-31,232.82
Baseball & Cricket,2022-02-01,304.78000000000003
Baseball & Cricket,2022-02-02,336.74
Baseball & Cricket,2022-02-03,297.77
Baseball & Cricket,2022-02-04,307.78000000000003
Baseball & Cricket,2022-02-05,888.4
Baseball & Cricket,2022-02-06,373.76
Baseball & Cricket,2022-02-07,46.94
Baseball & Cricket,2022-02-08,386.74
Baseball & Cricket,2022-02-09,418.69
Baseball & Cricket,2022-02-10,559.68
Baseball & Cricket,2022-02-11,266.82
Baseball & Cricket,2022-02-12,794.47
Baseball & Cricket,2022-02-13,530.61
Baseball & Cricket,2022-02-14,197.84
Baseball & Cricket,2022-02-15,423.72
Baseball & Cricket,2022-02-16,339.77
Baseball & Cricket,2022-02-17,271.85
Baseball & Cricket,2022-02-18,228.83
Baseball & Cricket,2022-02-19,486.62
Baseball & Cricket,2022-02-20,549.65
Baseball & Cricket,2022-02-21,653.59
Baseball & Cricket,2022-02-22,411.75
Baseball & Cricket,2022-02-23,647.55
Baseball & Cricket,2022-02-24,362.76
Baseball & Cricket,2022-02-25,747.33
Baseball & Cricket,2022-02-26,611.52
Baseball & Cricket,2022-02-27,508.71
Baseball & Cricket,2022-02-28,610.5500000000001
Baseball & Cricket,2022-03-01,478.73
Baseball & Cricket,2022-03-02,332.74
Baseball & Cricket,2022-03-03,447.69
Baseball & Cricket,2022-03-04,415.77000000000004
Baseball & Cricket,2022-03-05,597.6
Baseball & Cricket,2022-03-06,545.63
Baseball & Cricket,2022-03-07,246.8
Baseball & Cricket,2022-03-08,140.88
Baseball & Cricket,2022-03-09,359.72
Baseball & Cricket,2022-03-10,377.79
Baseball & Cricket,2022-03-11,525.58
Baseball & Cricket,2022-03-12,724.4399999999999
Baseball & Cricket,2022-03-13,1158.9
Baseball & Cricket,2022-03-14,491.65
Baseball & Cricket,2022-03-15,477.6
Baseball & Cricket,2022-03-16,233.93
Baseball & Cricket,2022-03-17,594.61
Baseball & Cricket,2022-03-18,473.65
Baseball & Cricket,2022-03-19,932.21
Baseball & Cricket,2022-03-20,615.55
Baseball & Cricket,2022-03-21,326.71999999999997
Baseball & Cricket,2022-03-22,520.44
Baseball & Cricket,2022-03-23,544.59
Baseball & Cricket,2022-03-24,666.53
Baseball & Cricket,2022-03-25,691.53
Baseball & Cricket,2022-03-26,980.27
Baseball & Cricket,2022-03-27,1343.98
Baseball & Cricket,2022-03-28,527.6800000000001
Baseball & Cricket,2022-03-29,610.48
Baseball & Cricket,2022-03-30,821.5
Baseball & Cricket,2022-03-31,442.69
Baseball & Cricket,2022-04-01,821.51
Baseball & Cricket,2022-04-02,1411.1
Baseball & Cricket,2022-04-03,678.0699999999999
Baseball & Cricket,2022-04-04,699.5999999999999
Baseball & Cricket,2022-04-05,491.74
Baseball & Cricket,2022-04-06,458.67
Baseball & Cricket,2022-04-07,573.7
Baseball & Cricket,2022-04-08,841.47
Baseball & Cricket,2022-04-09,708.47
Baseball & Cricket,2022-04-10,1058.24
Baseball & Cricket,2022-04-11,955.35
Baseball & Cricket,2022-04-12,800.46
Baseball & Cricket,2022-04-13,794.44
Baseball & Cricket,2022-04-14,1218.11
Baseball & Cricket,2022-04-15,801.34
Baseball & Cricket,2022-04-16,1184.16
Baseball & Cricket,2022-04-17,511.68
Baseball & Cricket,2022-04-18,1830.8799999999999
Baseball & Cricket,2022-04-19,838.47
