Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics
34,34,34,34,yvKto+gzUJir8wpecwl7q71d+G9emH/O6qu6e26hjX0=,1,10,1161.0,offline,sale,RAIN JACKET ROADR 900 LIGHT M JACKET BLK,RAIN WIN CUT RD,ROAD BIKE AND E,1,39.99,yvKto+gzUJir8wpecwl7q71d+G9emH/O6qu6e26hjX0=,Goed zittende regenjas,Goed zittende regenjas Goed waterdicht tot een bepaalde bui,5,2023-09-21 17:59:55,,,Well-fitting raincoat. Well-fitting raincoat Well waterproof up to a certain shower,Goed zittende regenjas. Goed zittende regenjas Goed waterdicht tot een bepaalde bui,Biking,1
45,45,45,45,gkc4F3oCTuSvn/5qB+DEJ+lVZy00nhW5uG+7VPLROuE=,1,10,1089.0,offline,sale,CITY EBIKE ELOPS 120E LF,ELEC URBAN BIKE,URBAN/FOLDING B,1,799.99,gkc4F3oCTuSvn/5qB+DEJ+lVZy00nhW5uG+7VPLROuE=,Perfect,"easy to drive, very helpful",5,2022-06-13 09:20:06,,,"Perfect. easy to drive, very helpful","Perfect. easy to drive, very helpful",Biking,2
60,60,60,60,kmMeKd8cmDdXS7CmAQhbXXU9wMytmeGoS6Gva9qIyPo=,1,10,2095.0,offline,sale,ADULT KICKSTAND 300,BIKE KICKSTANDS,BIKE ACCESSORIE,1,7.99,kmMeKd8cmDdXS7CmAQhbXXU9wMytmeGoS6Gva9qIyPo=,,Slecht geholpen met klacht van kastje naar de muur gestuurd. Lang wachten. Personeel skipped je volledig,1,2022-06-02 12:48:02,,,. Poor help with complaint sent from pillar to post. To wait long. Staff skipped you completely,. Slecht geholpen met klacht van kastje naar de muur gestuurd. Lang wachten. Personeel skipped je volledig,Biking,3
73,73,73,73,JumXGlhKSAcq3T2sXIPTr85L1nnH0lA5Z3/BdjZBsh8=,1,8,896.0,offline,sale,MTB HELMET ST 500 BLUE,HELMET MTB,MTB BIKES AND E,1,27.99,JumXGlhKSAcq3T2sXIPTr85L1nnH0lA5Z3/BdjZBsh8=,,"Goede service ,een mooie fiets in de aanbieding gekocht.",5,2023-02-10 15:45:38,,,". Good service, bought a nice bike on sale.",". Goede service ,een mooie fiets in de aanbieding gekocht.",Biking,2
74,74,74,74,0XdGY9IFj1mIV8fKbpNsFxm26ku3gDSZ9FjL1cAbOXk=,1,10,256.0,offline,sale,SHORT RC500 NB BLACK,GAR SUM RD M,ROAD BIKE AND E,1,39.99,0XdGY9IFj1mIV8fKbpNsFxm26ku3gDSZ9FjL1cAbOXk=,Veel comfortabeler tijdens lange ritten,"Zit erg lekker en geeft meer comfort bij lange ritten. Echter heeft de zeem wat bewegingsvrijheid, waardoor ik soms aan de voorzijde iet wat weinig bescherming heb en soms een extra stukje zeem",4,2023-08-20 12:14:05,,,"Much more comfortable on long journeys. Very comfortable and provides more comfort on long rides. However, the chamois has some freedom of movement, so I sometimes have little protection at the front and sometimes an extra piece of chamois","Veel comfortabeler tijdens lange ritten. Zit erg lekker en geeft meer comfort bij lange ritten. Echter heeft de zeem wat bewegingsvrijheid, waardoor ik soms aan de voorzijde iet wat weinig bescherming heb en soms een extra stukje zeem",Biking,1
75,75,75,75,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,1,10,1161.0,offline,sale,HELMET ROAD 500 YELLOW,ROAD HELMETS,ROAD BIKE AND E,1,44.99,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,Mooie aantrekkelijk geprijsde helm.,"De helm is aantrekkelijk geprijsd. Het eerste opzetten vereist wat instelwerk. Ik voel de helm wel zitten op m'n hoofd, maar niet irritant.",4,2022-11-27 13:25:41,,,"Nice, attractively priced helmet. The helmet is attractively priced. The initial setup requires some adjustment. I can feel the helmet on my head, but it is not annoying.","Mooie aantrekkelijk geprijsde helm.. De helm is aantrekkelijk geprijsd. Het eerste opzetten vereist wat instelwerk. Ik voel de helm wel zitten op m'n hoofd, maar niet irritant.",Biking,6
76,76,76,76,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,1,10,1161.0,offline,sale,HELMET ROAD 500 YELLOW,ROAD HELMETS,ROAD BIKE AND E,1,44.99,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,,"Ruime winkel, groot assortiment, scherpe prijzen.",5,2022-11-27 13:24:06,,,". Spacious store, wide range, competitive prices.",". Ruime winkel, groot assortiment, scherpe prijzen.",Biking,1
89,89,89,89,JWr8frsQ7eckeWn4y24Tml42MwljO10Xlbp4yKaSsLA=,1,10,2225.0,offline,sale,3 ZONES V-BRAKE 900,BIKE BRAKE,TYRES/SPARE/CAR,3,26.97,JWr8frsQ7eckeWn4y24Tml42MwljO10Xlbp4yKaSsLA=,"Prima remblokjes, wel prijzig voor Decathlon.","De remblokjes remmen super goed. Ik vind de prijs voor Decathlon eigen merk wel hoog en ze zijn ondertussen al weer 1 euro duurder geworden. De verwisselbare remvoering is een plus maar de 3 zone remvoering verkoopt decathlon dan weer niet los. Tip: de 3 zone remvoering is elders wel los verkrijgbaar, zelf even zoeken.",4,2023-04-04 10:09:54,,,"Excellent brake pads, but pricey for Decathlon. The brake pads brake very well. I think the price for Decathlon own brand is high and they have already become 1 euro more expensive. The replaceable brake lining is a plus, but Decathlon does not sell the 3 zone brake lining separately. Tip: the 3-zone brake lining is available separately elsewhere, just search for it yourself.","Prima remblokjes, wel prijzig voor Decathlon.. De remblokjes remmen super goed. Ik vind de prijs voor Decathlon eigen merk wel hoog en ze zijn ondertussen al weer 1 euro duurder geworden. De verwisselbare remvoering is een plus maar de 3 zone remvoering verkoopt decathlon dan weer niet los. Tip: de 3 zone remvoering is elders wel los verkrijgbaar, zelf even zoeken.",Biking,6
90,90,90,90,JWr8frsQ7eckeWn4y24Tml42MwljO10Xlbp4yKaSsLA=,1,10,2225.0,offline,sale,3 ZONES V-BRAKE 900,BIKE BRAKE,TYRES/SPARE/CAR,3,26.97,JWr8frsQ7eckeWn4y24Tml42MwljO10Xlbp4yKaSsLA=,,"Vriendelijk personeel, prijzen zijn echt niet altijd de goedkoopste voor fiets onderdelen tenminste. Maar de remblokjes remmen wel echt goed. Jammer dat jullie (nog) geen 12speed onderdelen hebben.",4,2023-04-04 10:02:40,,,". Friendly staff, prices are not always the cheapest for bicycle parts at least. But the brake pads do brake really well. Too bad you don't have 12speed parts (yet).",". Vriendelijk personeel, prijzen zijn echt niet altijd de goedkoopste voor fiets onderdelen tenminste. Maar de remblokjes remmen wel echt goed. Jammer dat jullie (nog) geen 12speed onderdelen hebben.",Biking,0
91,91,91,91,U+iUL0On1yDIE2DvFKlDJ0Cm68NvgOicolt/bFQxR/4=,1,10,664.0,offline,sale,SADDLE SPORT COMFORT 900 GEL,BIKE SADDLES,TYRES/SPARE/CAR,1,29.99,U+iUL0On1yDIE2DvFKlDJ0Cm68NvgOicolt/bFQxR/4=,,"Zadel gekocht,was niet goed.,ander gekocht ,die wel goed is toppie",5,2022-01-22 12:16:55,,,". Bought a saddle, it was not good, bought another one, which is good, great",". Zadel gekocht,was niet goed.,ander gekocht ,die wel goed is toppie",Biking,3
107,107,107,107,NJsmSCunPFugkQLgPOmwsU6+3lCLuyP4uplAhysFzxM=,1,10,346.0,offline,sale,BIKE CHAIN LOCK 900 ART3,BIKE LOCKS,BIKE ACCESSORIE,1,59.99,NJsmSCunPFugkQLgPOmwsU6+3lCLuyP4uplAhysFzxM=,Stevig kettingslot - ART keurmerk- prima,"Ik had een slot met ART keurmerk nodig voor de verzekering van mijn motorfiets. Dit slot voldoet prima: de ketting past door voorwiel + vork, het slotgedeelte is stevig en kan 360° draaien waardoor het gemakkelijk aan te brengen en te verwijderen is. De ketting is flexibel waardoor het gemakkelijk op te bergen is. Drie sleutels is praktisch; zelfs als ik er één zou verliezen, heb ik nog een reserve. Top!",5,2022-09-16 11:05:28,,,"Sturdy chain lock - ART quality mark - fine. I needed a lock with the ART quality mark for the insurance of my motorcycle. This lock works well: the chain fits through the front wheel + fork, the lock part is sturdy and can rotate 360°, making it easy to install and remove. The chain is flexible making it easy to store. Three keys is practical; even if I lose one, I still have a spare. Top!","Stevig kettingslot - ART keurmerk- prima. Ik had een slot met ART keurmerk nodig voor de verzekering van mijn motorfiets. Dit slot voldoet prima: de ketting past door voorwiel + vork, het slotgedeelte is stevig en kan 360° draaien waardoor het gemakkelijk aan te brengen en te verwijderen is. De ketting is flexibel waardoor het gemakkelijk op te bergen is. Drie sleutels is praktisch; zelfs als ik er één zou verliezen, heb ik nog een reserve. Top!",Biking,0
108,108,108,108,L97Xfbm5l/JD+QBxwVTJqNYH9ytvfhyfYWLEDoYmgKw=,1,10,897.0,offline,sale,BIKE DOUBLE BAG 520 BLACK,ON BIKE BAGS,BIKE ACCESSORIE,1,14.99,L97Xfbm5l/JD+QBxwVTJqNYH9ytvfhyfYWLEDoYmgKw=,Fijne tas,"Zeer fijne tas. Ruimte voor een mobiel, kleine fietspomp zonnebril en eventueel portemonnee.",5,2023-05-24 21:42:48,,,"Nice bag. Very nice bag. Space for a mobile phone, small bicycle pump sunglasses and possibly a wallet.","Fijne tas. Zeer fijne tas. Ruimte voor een mobiel, kleine fietspomp zonnebril en eventueel portemonnee.",Biking,1
115,115,115,115,I2CPQ4iO7MHmOqaO7EfVFcsxVUJWKL7m4pt1ONzx20U=,1,8,1161.0,offline,sale,"ST 120 RR 20""""",JR MTB BIKES,KID CYCLING AND,1,169.99,I2CPQ4iO7MHmOqaO7EfVFcsxVUJWKL7m4pt1ONzx20U=,Goeie kwaliteit,Ons kleinkind van 5 jaar trots als een Pauw met zijn super fiets,5,2022-04-06 20:18:58,,,Good quality. Our 5-year-old grandchild is proud as a peacock with his super bike,Goeie kwaliteit. Ons kleinkind van 5 jaar trots als een Pauw met zijn super fiets,Biking,6
116,116,116,116,qifLxl3R3v2IXzRxL7UuhrLlIu+Eweaw5fV/xAfkmBA=,1,8,1088.0,offline,sale,"24"""" ST 500 YELLOW",JR MTB BIKES,KID CYCLING AND,1,229.99,qifLxl3R3v2IXzRxL7UuhrLlIu+Eweaw5fV/xAfkmBA=,,Lekker zo doorgaan .,4,2023-03-13 20:09:28,,,. Keep it up.,. Lekker zo doorgaan .,Biking,0
117,117,117,117,nxctiDYfO2R2M8lEK3PuALnCFLadIm6j+KNMqUAlh7k=,1,10,256.0,offline,sale,"14"""" BIKE ARCTIC 100",3-5 BIKES,KID CYCLING AND,1,99.99,nxctiDYfO2R2M8lEK3PuALnCFLadIm6j+KNMqUAlh7k=,"Prima fiets, jammer dat het geen terugtraprem elke",Leuke fiets voor een mooie prijs.,4,2023-06-25 11:34:10,,,"Great bike, too bad it doesn't have a coaster brake. Nice bike for a nice price.","Prima fiets, jammer dat het geen terugtraprem elke. Leuke fiets voor een mooie prijs.",Biking,4
135,135,135,135,VFNd3VI+aIHHTu40erbGqNH9sCR4tsgxKd41hPRQJSI=,1,10,1570.0,offline,sale,STEEL FRONT EASY FIX BASKET,BASKET,BIKE ACCESSORIE,1,24.99,VFNd3VI+aIHHTu40erbGqNH9sCR4tsgxKd41hPRQJSI=,,"Was given wrong information upon placing an order. I placed an order in the store for a bike with a team lead. He asked me if I wanted to purchase any accessories too, I said if I can see the bike first and purchase accessories later on. He said sure you can do that, I asked I can get those attached when the bike arrives. Yes you can. Period. When the bike arrived I decided to get a lock, so I asked one of the staff if I can get it attached, he said let me check if we have time. I was weirded out by the reply but okay. Then I paid for a lock and he said I needed an accessory to attach the lock, okay. So i paid for both. Then while waiting I saw a basket that i can use to attach to the bike. I then got it and approached the guy in the bike shop to ask if he can also attach this. I asked nicely. His reply was “next time if you order online you order all the items so it can be attached all at the dame time!  “ angrily he replied. Going back to the first communication i was informed that these accessories can be attached at the store. So i replied i wanted to swe the bike first then he angrily went to his computer to type something up. In my opinion it took him 10mins to type up something than to attach the basket. Anyway after typing something and printing the paper he said “you pay €34” i then asked the basket was only 24 why do i pay 34. Older guy in glasses said “you think we work for free?!” i then asked but you will attach the lock for free but not the basket”? I was so confused. Then I said okay nevermind no need for the basket and thanks for being so nice (i was sarcastic already) he then tore the paper right in front of me. I was shocked at the service i received. I have been to decathlon in different countries but never have i ever experienced this type of service. Mis information and rudeness and un-apologetic staff. So i then went to the front to look for a manager. Then i explained the whole scenario. I then asked “if i was told during the time of my placing the bike order that there will be fees for attaching accessories after the order, why wouldnt I just order it together with the bike instead of waiting for it to arrive? It does not make sense that I would not order it and pay extra after arrival?” He got my point but when he asked the guy from whom ai ordered the bike curly blonde long hair, he denied it and said there are fees. But he didnt say if he told me there are fees. So no apologies i just said this is horrible and just decided to buy the basket and attach it myself, so i then went to the old glasses guy to ask if i can attach it myself he said yeah you can. Then i proceeded to apologize and said sorry if there is some mis communication he then shrugged me off and just said be back after blah blah time. My mistake was i did not watch what he was doing to my bike!!! According to decathlons email, if it gets delivered to a shop they will make sure that the bike is in perfect condition and safe. But it was not. Bad experience!",1,,,,". Was given wrong information upon placing an order. I placed an order in the store for a bike with a team lead. He asked me if I wanted to purchase any accessories too, I said if I can see the bike first and purchase accessories later on. He said sure you can do that, I asked I can get those attached when the bike arrives. Yes you can. Period. When the bike arrived I decided to get a lock, so I asked one of the staff if I can get it attached, he said let me check if we have time. I was weirded out by the reply but okay. Then I paid for a lock and he said I needed an accessory to attach the lock, okay. So i paid for both. Then while waiting I saw a basket that i can use to attach to the bike. I then got it and approached the guy in the bike shop to ask if he can also attach this. I asked nicely. His reply was “next time if you order online you order all the items so it can be attached all at the dame time!  “ angrily he replied. Going back to the first communication i was informed that these accessories can be attached at the store. So i replied i wanted to swe the bike first then he angrily went to his computer to type something up. In my opinion it took him 10mins to type up something than to attach the basket. Anyway after typing something and printing the paper he said “you pay €34” i then asked the basket was only 24 why do i pay 34. Older guy in glasses said “you think we work for free?!” i then asked but you will attach the lock for free but not the basket”? I was so confused. Then I said okay nevermind no need for the basket and thanks for being so nice (i was sarcastic already) he then tore the paper right in front of me. I was shocked at the service i received. I have been to decathlon in different countries but never have i ever experienced this type of service. Mis information and rudeness and un-apologetic staff. So i then went to the front to look for a manager. Then i explained the whole scenario. I then asked “if i was told during the time of my placing the bike order that there will be fees for attaching accessories after the order, why wouldnt I just order it together with the bike instead of waiting for it to arrive? It does not make sense that I would not order it and pay extra after arrival?” He got my point but when he asked the guy from whom ai ordered the bike curly blonde long hair, he denied it and said there are fees. But he didnt say if he told me there are fees. So no apologies i just said this is horrible and just decided to buy the basket and attach it myself, so i then went to the old glasses guy to ask if i can attach it myself he said yeah you can. Then i proceeded to apologize and said sorry if there is some mis communication he then shrugged me off and just said be back after blah blah time. My mistake was i did not watch what he was doing to my bike!!! According to decathlons email, if it gets delivered to a shop they will make sure that the bike is in perfect condition and safe. But it was not. Bad experience!",". Was given wrong information upon placing an order. I placed an order in the store for a bike with a team lead. He asked me if I wanted to purchase any accessories too, I said if I can see the bike first and purchase accessories later on. He said sure you can do that, I asked I can get those attached when the bike arrives. Yes you can. Period. When the bike arrived I decided to get a lock, so I asked one of the staff if I can get it attached, he said let me check if we have time. I was weirded out by the reply but okay. Then I paid for a lock and he said I needed an accessory to attach the lock, okay. So i paid for both. Then while waiting I saw a basket that i can use to attach to the bike. I then got it and approached the guy in the bike shop to ask if he can also attach this. I asked nicely. His reply was “next time if you order online you order all the items so it can be attached all at the dame time!  “ angrily he replied. Going back to the first communication i was informed that these accessories can be attached at the store. So i replied i wanted to swe the bike first then he angrily went to his computer to type something up. In my opinion it took him 10mins to type up something than to attach the basket. Anyway after typing something and printing the paper he said “you pay €34” i then asked the basket was only 24 why do i pay 34. Older guy in glasses said “you think we work for free?!” i then asked but you will attach the lock for free but not the basket”? I was so confused. Then I said okay nevermind no need for the basket and thanks for being so nice (i was sarcastic already) he then tore the paper right in front of me. I was shocked at the service i received. I have been to decathlon in different countries but never have i ever experienced this type of service. Mis information and rudeness and un-apologetic staff. So i then went to the front to look for a manager. Then i explained the whole scenario. I then asked “if i was told during the time of my placing the bike order that there will be fees for attaching accessories after the order, why wouldnt I just order it together with the bike instead of waiting for it to arrive? It does not make sense that I would not order it and pay extra after arrival?” He got my point but when he asked the guy from whom ai ordered the bike curly blonde long hair, he denied it and said there are fees. But he didnt say if he told me there are fees. So no apologies i just said this is horrible and just decided to buy the basket and attach it myself, so i then went to the old glasses guy to ask if i can attach it myself he said yeah you can. Then i proceeded to apologize and said sorry if there is some mis communication he then shrugged me off and just said be back after blah blah time. My mistake was i did not watch what he was doing to my bike!!! According to decathlons email, if it gets delivered to a shop they will make sure that the bike is in perfect condition and safe. But it was not. Bad experience!",Biking,0
147,147,147,147,yvIudy5ppZALJnZ8UBMbcGOIsUXv4Tzt8nWQPQrjIic=,1,8,1088.0,offline,sale,MTB HELMET ST 500 YELLOW FLUO,HELMET MTB,MTB BIKES AND E,1,39.99,yvIudy5ppZALJnZ8UBMbcGOIsUXv4Tzt8nWQPQrjIic=,,"Niemand wist iets wat we vroegen ,  maar liefst 4 personen. Ze waren wel vriendelijk  maar ik werd van de een naar de ander gestuurd en wisten echt helemaal niets. Heel veel lege schappen bij de fietsspullen.",2,2022-09-24 16:17:09,,,". No one knew anything we asked, no less than 4 people. They were friendly, but I was sent from one to the other and really didn't know anything. Lots of empty shelves for cycling gear.",". Niemand wist iets wat we vroegen ,  maar liefst 4 personen. Ze waren wel vriendelijk  maar ik werd van de een naar de ander gestuurd en wisten echt helemaal niets. Heel veel lege schappen bij de fietsspullen.",Biking,3
158,158,158,158,Pwv7Suprz7jc0cdPdaJKD92XgPuUWWv3f/jXnMLu758=,1,8,256.0,offline,sale,700X23-32 P48,BIKE INNER TUBE,TYRES/SPARE/CAR,1,3.99,Pwv7Suprz7jc0cdPdaJKD92XgPuUWWv3f/jXnMLu758=,,Simpele binnenland voor  BWIN racefiets was niet in voorraad  en niet meer leverbaar. Medewerkers deden veel moeite nog iets te vinden. Ik ben met een te grote band weggegaan om te proberen of ik er iets mee kon. Wel kreeg een bestelnummer van de niet meer leverbare band. Thuis had ik op internet ruime keus uit de juiste maat banden.,3,2023-08-06 02:01:31,,,". Simple interior for BWIN racing bike was out of stock and no longer available. Employees went to great lengths to find something. I left with too big a tape to try and see if I could do anything with it. However, we did receive an order number for the no longer available tire. At home I had a wide choice of the right size tires on the internet.",. Simpele binnenland voor  BWIN racefiets was niet in voorraad  en niet meer leverbaar. Medewerkers deden veel moeite nog iets te vinden. Ik ben met een te grote band weggegaan om te proberen of ik er iets mee kon. Wel kreeg een bestelnummer van de niet meer leverbare band. Thuis had ik op internet ruime keus uit de juiste maat banden.,Biking,0
178,178,178,178,KoQ3TRYmhLMNOlUOjuLjgnlynlkyhJtsJ6fldEegVcI=,1,10,1185.0,offline,sale,SET MUDGUARD 100  24-28##,BIKE MUDGUARDS,BIKE ACCESSORIE,1,9.99,KoQ3TRYmhLMNOlUOjuLjgnlynlkyhJtsJ6fldEegVcI=,Doesn’t work in rain.,It makes my clothes dirty while riding in rain. It is worthless and I would like to return.,1,,,,Doesn’t work in rain.. It makes my clothes dirty while riding in rain. It is worthless and I would like to return.,Doesn’t work in rain.. It makes my clothes dirty while riding in rain. It is worthless and I would like to return.,Biking,1
179,179,179,179,mJPOXOWu6+9Df775P7+7nYIo4JXSyPqiWCK7+AY03V0=,1,10,256.0,offline,sale,CARRIER PANNIER 100 2X15L GREY,LUGGAGE,BIKE ACCESSORIE,1,23.99,mJPOXOWu6+9Df775P7+7nYIo4JXSyPqiWCK7+AY03V0=,,Friendly care and Kind explanations !!!,5,2022-05-02 13:22:28,,,. Friendly care and Kind explanations !!!,. Friendly care and Kind explanations !!!,Biking,3
184,184,184,184,d3rhgNuwU4IIKyaDqLtZDIDhTGHNGD9luPMLxNJ9HyQ=,1,10,1186.0,offline,sale,GRVL100 SHOES BLACK,AD MTB SHOES,MTB BIKES AND E,1,39.99,d3rhgNuwU4IIKyaDqLtZDIDhTGHNGD9luPMLxNJ9HyQ=,,"Online gekocht, zit goed en voel me veilig met deze zaak qua retour en garantie mogelijkheden",5,2023-07-30 07:23:56,,,". Bought online, fits well and I feel safe with this case in terms of return and warranty options",". Online gekocht, zit goed en voel me veilig met deze zaak qua retour en garantie mogelijkheden",Biking,1
