,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics,topic,topic_name,x,y,z,x1,y1
10,126,126,126,UHaIQKLaqhA74RXFEtpXMKYyneFXAhbFA7q+6ZO9bTI=,1,10,897.0,offline,sale,YOGA MAT LIGHT 5MM V2 PINK,YOGA MATS,YOGA,2,49.98,UHaIQKLaqhA74RXFEtpXMKYyneFXAhbFA7q+6ZO9bTI=,Lekker stroef!,Ik glij niet meer uit!,5,2022-06-11 08:16:36,,,Nice and stiff! I won't slip anymore!,Lekker stroef!. Ik glij niet meer uit!,Fitness and Yoga,17,17,Fitness Gear,10.589301,2.0504255,6.633311,6.8330626,1.9553381
11,131,131,131,m5cB/TUVmd7XGIXOX5Xmr2v7uJRGqKoLS9zzlrcYe4Y=,1,10,2224.0,offline,sale,HEX DUMBBELL 10 KGS,KETTLE & HEX,MUSCLE & CROSS,2,59.98,m5cB/TUVmd7XGIXOX5Xmr2v7uJRGqKoLS9zzlrcYe4Y=,,Prima dumbbells,5,2022-07-22 12:07:16,,,. Prima dumbbells,. Prima dumbbells,Fitness and Yoga,8,8,Fitness Gear,10.719514,0.6152549,6.6992283,7.502822,3.284083
12,132,132,132,tSXZGaNi/P0M54J5GgKOwZ/MxdzOT8bpNEtP7SgS0Lg=,1,10,2092.0,offline,sale,TRAINING BAND 60 KG COLO 1,BODYWEIGHT ACC,MUSCLE & CROSS,1,18.99,tSXZGaNi/P0M54J5GgKOwZ/MxdzOT8bpNEtP7SgS0Lg=,"Geweldig product voor op vakantie, maar ook thuis",We gebruiken het bijna iedere dag. Voor thuiswerkers is het een ideal manier om tussen de bedrijven door warm te blijven en de thermostaat dus twee graden lager te zetten.,5,2022-07-12 09:16:32,,,"Great product for on holiday, but also at home. We use it almost every day. For home workers, it is an ideal way to stay warm between companies and therefore set the thermostat two degrees lower.","Geweldig product voor op vakantie, maar ook thuis. We gebruiken het bijna iedere dag. Voor thuiswerkers is het een ideal manier om tussen de bedrijven door warm te blijven en de thermostaat dus twee graden lager te zetten.",Fitness and Yoga,8,8,Fitness Gear,9.564664,1.0903563,7.5461497,8.712232,2.5802088
13,137,137,137,nDUHqDfsOSDVvI0bxmAOhaw29N994xDc3aKnruhmSR0=,1,10,256.0,offline,sale,SWEAT BELT,FIT BOTTL TOWEL,FITNESS TRAININ,4,23.96,nDUHqDfsOSDVvI0bxmAOhaw29N994xDc3aKnruhmSR0=,"Perfecte buikband, zweetband.","Het geeft een goede en stevige ondersteuning, het laat me lekker veel transpireren tijdens een lange wandeling, huishouden of tuinieren op mijn volkstuin.Ik heb het op maat geknipt zodat de band 10 à 15 cm overlapt en het afgeknipte gedeelte heb ik een zweetband voor m'n dijen gemaakt. Stukje klittenband erop genaaid en werkt hetzelfde als die voor m'n buik. Ik had er 4 gekocht, 2 voor mezelf en 2 voor mijn moeder die het ook met plezier gebruikt. aldus een top product.",5,2022-05-23 21:34:26,,,"Perfect belly band, sweat band... It provides good and firm support, it allows me to sweat a lot during a long walk, housework or gardening on my allotment. I cut it to size so that the band overlaps 10 to 15 cm and the cut part I made a sweatband for my thighs. A piece of Velcro was sewn on and it works the same as the one for my stomach. I bought 4, 2 for myself and 2 for my mother who also uses it with pleasure. thus a top product.","Perfecte buikband, zweetband.. Het geeft een goede en stevige ondersteuning, het laat me lekker veel transpireren tijdens een lange wandeling, huishouden of tuinieren op mijn volkstuin.Ik heb het op maat geknipt zodat de band 10 à 15 cm overlapt en het afgeknipte gedeelte heb ik een zweetband voor m'n dijen gemaakt. Stukje klittenband erop genaaid en werkt hetzelfde als die voor m'n buik. Ik had er 4 gekocht, 2 voor mezelf en 2 voor mijn moeder die het ook met plezier gebruikt. aldus een top product.",Fitness and Yoga,17,17,Fitness Gear,9.801811,2.0716372,7.102809,7.6839614,1.465866
14,138,138,138,zj3YM+dNlOA+tEdgopCq/STulpFYybqcIFsp9CoEDEU=,1,10,2092.0,offline,sale,T-SHIRT 100 LS GYM BLACK,WOMAN PANT JACK,FITNESS TRAININ,1,6.99,zj3YM+dNlOA+tEdgopCq/STulpFYybqcIFsp9CoEDEU=,Perfect,N.,5,,,,Perfect. N.,Perfect. N.,Fitness and Yoga,5,5,Good Product,9.55787,-2.276854,11.880399,8.685609,8.262072
15,139,139,139,fC+/YLAavkUQ99lMzZvOQn6gXujPF0OVaKR5vZZDatk=,1,10,1186.0,offline,sale,FST 100 W SHORT SLIM BLACK,W ESSENTIAL,FITNESS TRAININ,1,5.99,fC+/YLAavkUQ99lMzZvOQn6gXujPF0OVaKR5vZZDatk=,,"Jammer dat jullie geen danskleding voor volwassenen meer in de winkel verkopen. natuurlijk kan het online besteld worden, maar omdat jullie maten vaak anders vallen, is het lastig om te weten welke maat te bestellen. Ook schoenen en kniebeschermers voor dansen zou super zijn als jullie deze weer in de winkel zouden verkopen.",4,2022-09-22 09:11:12,,,". Too bad you no longer sell dance clothing for adults in the store. of course it can be ordered online, but because your sizes often fit differently, it is difficult to know which size to order. Shoes and knee pads for dancing would also be great if you sold them in the store again.",". Jammer dat jullie geen danskleding voor volwassenen meer in de winkel verkopen. natuurlijk kan het online besteld worden, maar omdat jullie maten vaak anders vallen, is het lastig om te weten welke maat te bestellen. Ook schoenen en kniebeschermers voor dansen zou super zijn als jullie deze weer in de winkel zouden verkopen.",Fitness and Yoga,16,16,Store and Staff,6.967738,1.4299959,7.7245812,10.077545,0.31016457
16,146,146,146,SuPvvEgNJBAiIyXw5eFFpohDNHibX6b6eDsadH40sro=,1,10,897.0,offline,sale,AT FLEX RUN LACE ROSE POWDER,JUNIOR MULTISPO,KIDS SPORTIVE E,1,24.99,SuPvvEgNJBAiIyXw5eFFpohDNHibX6b6eDsadH40sro=,,gewoon een top winkel,5,2023-09-10 08:12:04,,,. just a great store,. gewoon een top winkel,Fitness and Yoga,6,6,Store and Staff,7.1051364,-1.51143,8.102634,12.210119,2.2489228
17,176,176,176,k7+BrDpSXvHYiSJFT/tlKIM64LiXSFgG4MlaXjVBTco=,1,10,1088.0,offline,sale,WHEY PROTEIN VANILLA 900G,PROT / COMPL,MUSCLE & CROSS,1,22.99,k7+BrDpSXvHYiSJFT/tlKIM64LiXSFgG4MlaXjVBTco=,"Goed oplosbaar, maar smaakt niet echt naar vanille",De oplosbaarheid in water is zeer goed. De smaak valt tegen. Het heeft een laffe chemische vanillesmaak. Dit moet beter kunnen. Al met al een goed product kwaliteit/prijs,3,2022-09-07 18:20:20,,,"Easily soluble, but doesn't really taste like vanilla. The solubility in water is very good. The taste is disappointing. It has a cowardly chemical vanilla taste. This must be possible better. All in all a good product quality/price","Goed oplosbaar, maar smaakt niet echt naar vanille. De oplosbaarheid in water is zeer goed. De smaak valt tegen. Het heeft een laffe chemische vanillesmaak. Dit moet beter kunnen. Al met al een goed product kwaliteit/prijs",Fitness and Yoga,8,8,Fitness Gear,9.803757,1.5533538,8.024345,8.414722,3.4951382
18,180,180,180,jo+73IztNpo6C4jctWfbBN73Y5z0gLMZ5pWaKY9Zx/8=,1,10,256.0,offline,sale,LEGGING FTI 100 REGULAR BLACK,W ESSENTIAL,FITNESS TRAININ,1,13.99,jo+73IztNpo6C4jctWfbBN73Y5z0gLMZ5pWaKY9Zx/8=,Niet als verwacht,"Zit goed maar bij middel te strak , weinig rek",3,2023-07-14 10:32:55,,,"Not as expected. Fits well but too tight at the waist, little stretch","Niet als verwacht. Zit goed maar bij middel te strak , weinig rek",Fitness and Yoga,1,1,Size-Fit Evaluation,8.632477,3.764504,7.336939,8.451573,-0.83601534
19,229,229,229,OYpfgAUgrLm5b7ORg3A3ljaj5/+UuJhxiMMmIfxeeeE=,1,10,1088.0,offline,sale,T-SHIRT 500 REG REC PILATES NAVY BLUE,MAN TS SHORT,FITNESS TRAININ,2,13.98,OYpfgAUgrLm5b7ORg3A3ljaj5/+UuJhxiMMmIfxeeeE=,,"snel gevonden, en afreken is tegenwoordig al helemaal geen kunst, in de bal, bliep even controleren en de prijs staat, via de app je pas scannen, en klaar geen bonnetjes want die staan op je account. easy",5,2022-04-11 10:25:43,,,". quickly found, and nowadays paying is no art at all, in the ball, just bleep to check and the price is there, scan your card via the app, and there you go, no receipts because they are on your account. easy",". snel gevonden, en afreken is tegenwoordig al helemaal geen kunst, in de bal, bliep even controleren en de prijs staat, via de app je pas scannen, en klaar geen bonnetjes want die staan op je account. easy",Fitness and Yoga,0,0,Delivery,6.3163953,-0.19128717,9.886131,12.843931,4.331963
20,230,230,230,v8DF13PV7D1cYph2ppyxuwjqRGMIFq167tisYcirn3E=,1,10,1161.0,offline,sale,TEE SHIRT FTS100 BLACK,W ESSENTIAL,FITNESS TRAININ,2,7.98,v8DF13PV7D1cYph2ppyxuwjqRGMIFq167tisYcirn3E=,,.,4,2023-07-22 20:56:32,,,,. .,Fitness and Yoga,2,2,Unknown,-19.365623,0.8315335,7.734023,-16.230482,20.93281
21,267,267,267,1lJ2izAfJNAlHWGNZYhhOx599DcN5eH7eWzErEdOHlk=,1,10,1089.0,offline,sale,SHAKER CLASSIC NOIR 500 ML .,PROT / COMPL,MUSCLE & CROSS,1,7.99,1lJ2izAfJNAlHWGNZYhhOx599DcN5eH7eWzErEdOHlk=,Makkelijk te gebruiken,Prima beker dat goed sluit en mee te nemen is.,5,2023-09-10 10:02:38,,,Easy to use. Great cup that closes well and can be taken with you.,Makkelijk te gebruiken. Prima beker dat goed sluit en mee te nemen is.,Fitness and Yoga,8,8,Fitness Gear,9.615308,1.0570679,7.731902,8.76235,2.6789713
22,268,268,268,1lJ2izAfJNAlHWGNZYhhOx599DcN5eH7eWzErEdOHlk=,1,10,1089.0,offline,sale,SHAKER CLASSIC NOIR 500 ML .,PROT / COMPL,MUSCLE & CROSS,1,7.99,1lJ2izAfJNAlHWGNZYhhOx599DcN5eH7eWzErEdOHlk=,,"groot aanbod, prima prijzen",4,2023-08-22 23:13:03,,,". large selection, excellent prices",". groot aanbod, prima prijzen",Fitness and Yoga,6,6,Store and Staff,7.3964014,-0.74832773,7.9398437,11.486663,2.4998863
23,280,280,280,thYge9ooVLUtM/fpqYyYAjuzsN3pAtOzafnlXef5+BQ=,1,10,346.0,offline,sale,PILATES BAND MEDIUM,WEIGHTS&ELAST.,FITNESS TRAININ,1,7.99,thYge9ooVLUtM/fpqYyYAjuzsN3pAtOzafnlXef5+BQ=,,goedkoop,5,2023-09-19 01:01:18,,,. cheap,. goedkoop,Fitness and Yoga,12,12,Price-Quality Evaluation,8.301932,-0.33484724,8.229791,10.585217,3.117623
24,321,321,321,woY/mjpvQdFmRxQmKHC8LHyGye5eIakF5cxtx/UXi44=,1,2,70.0,online,sale,PANT SLIM 500 BLACK M,MAN PANT JACKET,FITNESS TRAININ,1,19.99,woY/mjpvQdFmRxQmKHC8LHyGye5eIakF5cxtx/UXi44=,Prijs/Kwaliteit  :yes:,Draagt prettig. Gewoon goed.,4,2023-06-30 10:10:16,,,Price/Quality :yes:. Wears comfortably. Just good.,Prijs/Kwaliteit  :yes:. Draagt prettig. Gewoon goed.,Fitness and Yoga,1,1,Size-Fit Evaluation,9.073384,3.3941295,6.972796,7.9893713,0.3481396
25,327,327,327,JaCNn98pk/gw1wDWoAowy1GT+Na0ojeoeS9XRe5mlW0=,1,10,1161.0,offline,sale,FTA 120 W TANK PINK,W ESSENTIAL,FITNESS TRAININ,1,4.99,JaCNn98pk/gw1wDWoAowy1GT+Na0ojeoeS9XRe5mlW0=,,Dinsdag jl afspraak gemaakt  dat we het pakket ( groot) graag op zaterdagochtend wilde ontvangen ivm feit dat het een kado is voor onze kleindochter die 2 jaar is geworden. was geen enkel probleem vlgs verkoopster.Gang van zaken is geen reclame voor een grote zaak als Decathlon.Zullen ons er uit moeten praten.,1,2022-09-05 10:53:28,,,. We made an appointment last Tuesday that we would like to receive the package (large) on Saturday morning because it is a gift for our granddaughter who has turned 2. was no problem at all according to the saleswoman. The course of events is not an advertisement for a large company like Decathlon. We will have to talk us out of it.,. Dinsdag jl afspraak gemaakt  dat we het pakket ( groot) graag op zaterdagochtend wilde ontvangen ivm feit dat het een kado is voor onze kleindochter die 2 jaar is geworden. was geen enkel probleem vlgs verkoopster.Gang van zaken is geen reclame voor een grote zaak als Decathlon.Zullen ons er uit moeten praten.,Fitness and Yoga,0,0,Delivery,6.627677,1.1958021,9.84329,12.137031,5.311441
26,331,331,331,dhSlexQ8IvH0PD2qwc6od7X1kJSRSm3RA1TOLk+oilE=,1,10,2094.0,offline,sale,SOFT 140 JR FULL BLACK,JUNIOR MULTISPO,KIDS SPORTIVE E,1,17.99,dhSlexQ8IvH0PD2qwc6od7X1kJSRSm3RA1TOLk+oilE=,,Winkel ziet er netjes uit. Vriendelijkheid en behulpzaamheid personeel kan beter,4,2023-08-25 07:59:11,,,. Shop looks neat. Friendliness and helpfulness of staff could be better,. Winkel ziet er netjes uit. Vriendelijkheid en behulpzaamheid personeel kan beter,Fitness and Yoga,14,14,Store and Staff,6.423541,-1.7265815,8.987907,13.585603,2.8242269
27,332,332,332,AYh2ccCC44HE6VvQYAYSQPZGXEFeJmb9ntMsUw3m9vE=,1,10,2093.0,offline,sale,TS130 JR PINK WHITE,JUNIOR MULTISPO,KIDS SPORTIVE E,1,14.99,AYh2ccCC44HE6VvQYAYSQPZGXEFeJmb9ntMsUw3m9vE=,Schoenen zitten super!,Heerlijke gymschoenen voor mijn dochter voor haar gymles. Zij is er erg tevreden over!,5,2022-10-15 19:03:50,,,Shoes fit great! Lovely sneakers for my daughter for her gym class. She is very satisfied with it!,Schoenen zitten super!. Heerlijke gymschoenen voor mijn dochter voor haar gymles. Zij is er erg tevreden over!,Fitness and Yoga,10,10,Fitness Clothing,11.040781,2.0709164,4.790292,5.169097,2.3244305
28,333,333,333,AYh2ccCC44HE6VvQYAYSQPZGXEFeJmb9ntMsUw3m9vE=,1,10,2093.0,offline,sale,TS130 JR PINK WHITE,JUNIOR MULTISPO,KIDS SPORTIVE E,1,14.99,AYh2ccCC44HE6VvQYAYSQPZGXEFeJmb9ntMsUw3m9vE=,,Zeer tevreden over Decathlon. Personeel hulpvaardig en vriendelijk. Ook online eerder twee goede aankopen gedaan voor dochter: turnpakje en badpak. Goede kwaliteit. Prijs kwaliteit verhouding is prima. Betaalbaar en waar voor je geld!,5,2022-09-26 14:50:37,,,. Very satisfied with Decathlon. Staff helpful and friendly. Also made two good purchases online for my daughter: a leotard and a swimsuit. Good quality. Price-quality ratio is excellent. Affordable and value for money!,. Zeer tevreden over Decathlon. Personeel hulpvaardig en vriendelijk. Ook online eerder twee goede aankopen gedaan voor dochter: turnpakje en badpak. Goede kwaliteit. Prijs kwaliteit verhouding is prima. Betaalbaar en waar voor je geld!,Fitness and Yoga,16,16,Store and Staff,5.8711185,1.0289812,6.864538,11.167784,0.3549827
29,384,384,384,/coB3FcDxZNyPzDvx98AYspHlrt9ZLFQ8/DwmYiGc+8=,1,10,664.0,offline,sale,T-SHIRT REGULAR 500 ESS BLUE M,MAN TS SHORT,FITNESS TRAININ,1,8.99,/coB3FcDxZNyPzDvx98AYspHlrt9ZLFQ8/DwmYiGc+8=,,"Neutraal, geen gezellige winkel.",3,2023-10-24 08:54:04,,,". Neutral, not a pleasant store.",". Neutraal, geen gezellige winkel.",Fitness and Yoga,6,6,Store and Staff,6.817119,-1.6613349,8.406556,12.58551,2.4280236
30,389,389,389,t99rk/d65y+6FAwBvl6Sscvz/YymYCf1H+hYsp2yqTQ=,1,10,896.0,offline,sale,LEGGING S500 MESH TG,LEGGIN JKT GIRL,KIDS SPORTIVE E,1,11.99,t99rk/d65y+6FAwBvl6Sscvz/YymYCf1H+hYsp2yqTQ=,,altijd fijn om veel keuze te hebben voor zeer mooie prijzen,4,2023-02-12 14:07:34,,,. always nice to have a lot of choice for very good prices,. altijd fijn om veel keuze te hebben voor zeer mooie prijzen,Fitness and Yoga,6,6,Store and Staff,7.4251165,-0.946346,8.132714,11.493819,2.6108232
31,390,390,390,k3e7VQI2/PMnJ9pHfJ7PYldzFxXL9ksgdXOiCngqOHY=,1,8,1161.0,offline,return,PW 100 JR BLACK WHITE,JUNIOR MULTISPO,KIDS SPORTIVE E,-1,-11.99,k3e7VQI2/PMnJ9pHfJ7PYldzFxXL9ksgdXOiCngqOHY=,,"Kinderfietsen afdeling was een rommeltje, assortiment gymschoenen ook. Ruilservice en kassaservice prima",4,2023-08-26 07:55:15,,,". Children's bicycle department was a mess, as was the range of sneakers. Exchange service and checkout service excellent",". Kinderfietsen afdeling was een rommeltje, assortiment gymschoenen ook. Ruilservice en kassaservice prima",Fitness and Yoga,6,6,Store and Staff,6.6335845,-0.90133506,8.625911,12.719322,2.9633265
32,412,412,412,NlgzS3c8qfTGOpSJroRGtZwb/OWMIMgcr4JbKwJY/N4=,1,10,256.0,offline,sale,IRON DISC,WEIGHTS,MUSCLE & CROSS,2,3.98,NlgzS3c8qfTGOpSJroRGtZwb/OWMIMgcr4JbKwJY/N4=,,Uitstekend,5,2022-05-31 09:34:37,,,. Excellent,. Uitstekend,Fitness and Yoga,5,5,Good Product,9.994592,-2.4965665,11.565218,8.300682,8.118226
33,431,431,431,+XbIV9OzUCBXNK6hR77cXK/TVGAofVNbWzEG23K22/g=,1,10,346.0,offline,sale,T-SHIRT REGULAR 100,WOMAN TS LEGG,FITNESS TRAININ,1,5.99,+XbIV9OzUCBXNK6hR77cXK/TVGAofVNbWzEG23K22/g=,,"Ik was opzoek naar de domos fitnessbroek, die op Facebook voorbij komt  Een medewerker hielp mee zoeken. Hij kon het artikel ook niet vinden. Als hij een terminal bij de hand had, dan was het misschien wel gelukt.",5,2023-08-31 06:21:10,,,". I was looking for the domos fitness pants, which come up on Facebook. An employee helped with the search. He couldn't find the article either. If he had a terminal at hand, it might have worked.",". Ik was opzoek naar de domos fitnessbroek, die op Facebook voorbij komt  Een medewerker hielp mee zoeken. Hij kon het artikel ook niet vinden. Als hij een terminal bij de hand had, dan was het misschien wel gelukt.",Fitness and Yoga,13,13,Fitness Clothing,9.398456,4.9358163,7.4773006,9.113766,-1.6527852
34,432,432,432,owHvSMpKj0MND3o7Tr1Ws0ZBWgS8nENsmiKwlaXW8xM=,1,2,70.0,online,sale,FPA 120 STRETCH M TROUSERS ASP,FIT BEG M OUTFI,FITNESS TRAININ,2,29.98,owHvSMpKj0MND3o7Tr1Ws0ZBWgS8nENsmiKwlaXW8xM=,,Goede en snelle levering,5,2022-03-21 12:43:19,,,. Good and fast delivery,. Goede en snelle levering,Fitness and Yoga,0,0,Delivery,7.7241473,1.010486,10.429114,11.063774,5.329158
35,433,433,433,CzwIY8RWJjzGEUbHHS6SF0K4mRipHoud/SiJ/WwzLXE=,1,10,346.0,offline,sale,120 MID BLACK,FIT WOMAN SHOES,FITNESS TRAININ,1,12.99,CzwIY8RWJjzGEUbHHS6SF0K4mRipHoud/SiJ/WwzLXE=,Super broek  valt alleen kleiner uit,Super pasvorm  valt alleen iets kleiner uit,5,2022-05-16 20:26:46,,,"Great pants only fit smaller. Great fit, just runs a little smaller",Super broek  valt alleen kleiner uit. Super pasvorm  valt alleen iets kleiner uit,Fitness and Yoga,13,13,Fitness Clothing,9.123524,5.143247,7.64434,9.176929,-1.541385
36,434,434,434,y3fkUN2pa6XQeyMPnBFsz5+rdLMGBSCew/aWG0Y2R2M=,1,8,1088.0,offline,sale,DOMYOS EB 140,FIT HOME BIKE,FITNESS TRAININ,1,249.99,y3fkUN2pa6XQeyMPnBFsz5+rdLMGBSCew/aWG0Y2R2M=,,"Erg behulpzaam personeel. Mee helpen dragen en in de auto tillen van de hometrainer,  terwijl ik stond af te rekenen. Top geholpen",5,2022-09-07 23:13:05,,,. Very helpful staff. Helping to carry and lift the exercise bike into the car while I was paying. Great help,". Erg behulpzaam personeel. Mee helpen dragen en in de auto tillen van de hometrainer,  terwijl ik stond af te rekenen. Top geholpen",Fitness and Yoga,14,14,Store and Staff,6.5842476,-1.5887525,9.908878,13.970142,3.8060474
37,438,438,438,SOwUeUWt17o7xaA5C0rxzhcVyEC1Y9dRMCrBhHXP2mM=,2,10,1088.0,offline,sale,ADIDAS ADVANTAGE JR,JUNIOR MULTISPO,KIDS SPORTIVE E,1,39.99,SOwUeUWt17o7xaA5C0rxzhcVyEC1Y9dRMCrBhHXP2mM=,,-,4,2022-09-12 11:48:40,,,,. -,Fitness and Yoga,2,2,Unknown,-19.277952,0.7439342,7.821663,-16.121252,20.823463
